# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Instituto,1973,Primera División,13,11,—,—,—,—,—,—,13,11
Central,1974,Primera División,36,30,—,—,7,3,—,—,43,33
Central,1975,Primera División,49,38,—,—,9,5,—,—,58,43
Central,1976,Primera División,22,21,—,—,—,—,—,—,22,21
Central,Total,Total,107,89,—,—,16,8,—,—,123,97
Valencia,1976–77,La Liga,34,24,0,0,—,—,—,—,34,24
Valencia,1977–78,La Liga,34,28,12,11,—,—,—,—,46,39
Valencia,1978–79,La Liga,30,15,10,3,6,3,—,—,46,21
Valencia,1979–80,La Liga,32,22,2,2,9,9,—,—,43,33
Valencia,1980–81,La Liga,12,9,1,0,5,2,—,—,18,11
Valencia,Total,Total,142,95,25,16,20,14,—,—,187,125
River Plate,1981,Primera División,29,15,—,—,4,1,—,—,33,16
River Plate,1982,Primera División,0,0,—,—,—,—,—,—,0,0
River Plate,Total,Total,29,15,—,—,4,1,—,—,33,16
Valencia,1982–83,La Liga,27,13,1,0,8,0,2,0,38,13
Valencia,1983–84,La Liga,15,8,4,3,0,0,2,0,21,11
Valencia,Total,Total,42,21,5,3,8,0,4,0,59,24
Hércules,1984–85,La Liga,17,1,2,0,—,—,—,—,19,1
Hércules,1985–86,La Liga,21,9,2,1,—,—,—,—,23,10
Hércules,Total,Total,38,10,4,1,—,—,—,—,42,11
First Vienna,1986–87,Austrian Bundesliga,20,7,—,—,—,—,—,—,20,7
Sankt Pölten,1987–88,Austrian First League,32,10,—,—,—,—,—,—,32,10
Sankt Pölten,1988–89,Austrian Bundesliga,29,9,—,—,—,—,—,—,29,9
Sankt Pölten,1989–90,Austrian Bundesliga,35,15,—,—,—,—,—,—,35,15
Sankt Pölten,Total,Total,96,34,—,—,—,—,—,—,96,34
Kremser SC,1990–91,Austrian Bundesliga,21,5,—,—,—,—,—,—,21,5
Kremser SC,1991–92,Austrian Bundesliga,18,2,—,—,—,—,—,—,18,2
Kremser SC,Total,Total,39,7,—,—,—,—,—,—,39,7
Fernández Vial,1995,Primera B,11,5,—,—,—,—,—,—,11,5
Pelita Jaya,1996,Liga Indonesia,15,10,—,—,—,—,—,—,15,10
Career total,Career total,Career total,552,304,34,20,48,23,4,0,638,347
