# List of international goals scored by Mario Kempes
No.,Date,Venue,Opponent,Score,Result,Competition
1,22 April 1974,"José Amalfitani Stadium, Buenos Aires, Argentina",Romania,2–1,2–1,Friendly
2,18 May 1974,"Parc des Princes, Paris, France",France,1–0,1–0,Friendly
3,22 May 1974,"Wembley Stadium, London, England",England,1–2,2–2,Friendly
4,22 May 1974,"Wembley Stadium, London, England",England,2–2,2–2,Friendly
5,3 August 1975,"Estadio Olímpico, Caracas, Venezuela",Venezuela,2–1,5–1,1975 Copa América
6,10 August 1975,"Estadio Gigante de Arroyito, Rosario, Argentina",Venezuela,5–0,11–0,1975 Copa América
7,10 August 1975,"Estadio Gigante de Arroyito, Rosario, Argentina",Venezuela,10–0,11–0,1975 Copa América
8,27 February 1976,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Brazil,2–1,2–1,Roca Cup 1976
9,20 March 1976,"Central Stadium, Kyiv, Ukraine",Soviet Union,1–0,1–0,Friendly
10,14 June 1978,"Estadio Gigante de Arroyito, Rosario, Argentina",Poland,1–0,2–0,1978 FIFA World Cup
11,14 June 1978,"Estadio Gigante de Arroyito, Rosario, Argentina",Poland,2–0,2–0,1978 FIFA World Cup
12,21 June 1978,"Estadio Gigante de Arroyito, Rosario, Argentina",Peru,1–0,6–0,1978 FIFA World Cup
13,21 June 1978,"Estadio Gigante de Arroyito, Rosario, Argentina",Peru,3–0,6–0,1978 FIFA World Cup
14,25 June 1978,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Netherlands,1–0,3–1,1978 FIFA World Cup
15,25 June 1978,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires, Argentina",Netherlands,2–1,3–1,1978 FIFA World Cup
