# List of international goals scored by Mario Mandžukić
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,10 September 2008,"Stadion Maksimir, Zagreb, Croatia",2,England,1–3,1–4,2010 FIFA World Cup qualification
2,12 October 2010,"Stadion Maksimir, Zagreb, Croatia",17,Norway,1–1,2–1,Friendly
3,3 June 2011,"Stadion Poljud, Split, Croatia",19,Georgia,1–1,2–1,UEFA Euro 2012 qualification
4,11 October 2011,"Stadion Kantrida, Rijeka, Croatia",24,Latvia,2–0,2–0,UEFA Euro 2012 qualification
5,11 November 2011,"Türk Telekom Arena, Istanbul, Turkey",25,Turkey,2–0,3–0,UEFA Euro 2012 qualification
6,10 June 2012,"Municipal Stadium, Poznań, Poland",30,Republic of Ireland,1–0,3–1,UEFA Euro 2012
7,10 June 2012,"Municipal Stadium, Poznań, Poland",30,Republic of Ireland,3–1,3–1,UEFA Euro 2012
8,14 June 2012,"Municipal Stadium, Poznań, Poland",31,Italy,1–1,1–1,UEFA Euro 2012
9,16 October 2012,"Stadion Gradski vrt, Osijek, Croatia",37,Wales,1–0,2–0,2014 FIFA World Cup qualification
10,6 February 2013,"Craven Cottage, London, England",38,South Korea,1–0,4–0,Friendly
11,22 March 2013,"Stadion Maksimir, Zagreb, Croatia",39,Serbia,1–0,2–0,2014 FIFA World Cup qualification
12,6 September 2013,"Red Star Stadium, Belgrade, Serbia",43,Serbia,1–0,1–1,2014 FIFA World Cup qualification
13,19 November 2013,"Stadion Maksimir, Zagreb, Croatia",47,Iceland,1–0,2–0,2014 FIFA World Cup qualification
14,18 June 2014,"Arena da Amazônia, Manaus, Brazil",51,Cameroon,3–0,4–0,2014 FIFA World Cup
15,18 June 2014,"Arena da Amazônia, Manaus, Brazil",51,Cameroon,4–0,4–0,2014 FIFA World Cup
16,4 September 2014,"Stadion Aldo Drosina, Pula, Croatia",53,Cyprus,1–0,2–0,Friendly
17,4 September 2014,"Stadion Aldo Drosina, Pula, Croatia",53,Cyprus,2–0,2–0,Friendly
18,7 June 2015,"Stadion Varteks, Varaždin, Croatia",59,Gibraltar,3–0,4–0,Friendly
19,12 June 2015,"Stadion Poljud, Split, Croatia",60,Italy,1–0,1–1,UEFA Euro 2016 qualification
20,17 November 2015,"Olimp-2, Rostov-on-Don, Russia",63,Russia,3–1,3–1,Friendly
21,26 March 2016,"Groupama Arena, Budapest, Hungary",65,Hungary,1–0,1–1,Friendly
22,4 June 2016,"Stadion Rujevica, Rijeka, Croatia",66,San Marino,2–0,10–0,Friendly
23,4 June 2016,"Stadion Rujevica, Rijeka, Croatia",66,San Marino,4–0,10–0,Friendly
24,4 June 2016,"Stadion Rujevica, Rijeka, Croatia",66,San Marino,5–0,10–0,Friendly
25,6 October 2016,"Loro Boriçi Stadium, Shkodër, Albania",71,Kosovo,1–0,6–0,2018 FIFA World Cup qualification
26,6 October 2016,"Loro Boriçi Stadium, Shkodër, Albania",71,Kosovo,2–0,6–0,2018 FIFA World Cup qualification
27,6 October 2016,"Loro Boriçi Stadium, Shkodër, Albania",71,Kosovo,3–0,6–0,2018 FIFA World Cup qualification
28,9 October 2016,"Tampere Stadium, Tampere, Finland",72,Finland,1–0,1–0,2018 FIFA World Cup qualification
29,15 November 2016,"Windsor Park, Belfast, Northern Ireland",74,Northern Ireland,1–0,3–0,Friendly
30,6 October 2017,"Stadion Rujevica, Rijeka, Croatia",79,Finland,1–0,1–1,2018 FIFA World Cup qualification
31,1 July 2018,"Nizhny Novgorod Stadium, Nizhny Novgorod, Russia",86,Denmark,1–1,1–1,2018 FIFA World Cup
32,11 July 2018,"Luzhniki Stadium, Moscow, Russia",88,England,2–1,2–1,2018 FIFA World Cup
33,15 July 2018,"Luzhniki Stadium, Moscow, Russia",89,France,2–4,2–4,2018 FIFA World Cup
