# List of international goals scored by Mark Hughes
No.,Date,Venue,Opponent,Score,Result,Competition
1,2 May 1984,"Racecourse Ground, Wrexham, Wales",England,1–0,1–0,1983–84 British Home Championship
2,22 May 1984,"Vetch Field, Swansea, Wales",Northern Ireland,1–0,1–1,1983–84 British Home Championship
3,14 November 1984,"Ninian Park, Cardiff, Wales",Iceland,2–1,2–1,1986 FIFA World Cup qualification
4,30 April 1985,"Racecourse Ground, Wrexham, Wales",Spain,2–0,3–0,1986 FIFA World Cup qualification
5,5 June 1985,"Brann Stadion, Bergen, Norway",Norway,2–4,2–4,Friendly
6,10 September 1985,"Ninian Park, Cardiff, Wales",Scotland,1–0,1–1,1986 FIFA World Cup qualification
7,9 September 1987,"Ninian Park, Cardiff, Wales",Denmark,1–0,1–0,UEFA Euro 1988 qualification
8,1 June 1988,"Ta' Qali National Stadium, Valletta, Malta",Malta,2–2,3–2,Friendly
9,17 October 1990,"Ninian Park, Cardiff, Wales",Belgium,3–1,3–1,UEFA Euro 1992 qualification
10,14 October 1992,"Tsirion Stadium, Limassol, Cyprus",Cyprus,1–0,1–0,1994 FIFA World Cup qualification
11,17 February 1993,"Tolka Park, Dublin, Republic of Ireland",Republic of Ireland,1–0,1–2,Friendly
12,28 April 1993,"Bazaly, Ostrava, Czech Republic",RCS,1–0,1–1,1994 FIFA World Cup qualification
13,2 June 1996,"Stadio Olimpico, Serravalle, San Marino",San Marino,2–0,5–0,1998 FIFA World Cup qualification
14,2 June 1996,"Stadio Olimpico, Serravalle, San Marino",San Marino,3–0,5–0,1998 FIFA World Cup qualification
15,31 August 1996,"Cardiff Arms Park, Cardiff, Wales",San Marino,2–0,6–0,1998 FIFA World Cup qualification
16,31 August 1996,"Cardiff Arms Park, Cardiff, Wales",San Marino,5–0,6–0,1998 FIFA World Cup qualification
