# Table 1
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals,Total Unnamed: 13_level_1
Melbourne Knights,1992–93,National Soccer League,4,2,0,0,—,—,—,—,4,2,
Melbourne Knights,1993–94,National Soccer League,20,17,2,1,—,—,—,—,22,18,
Melbourne Knights,1994–95,National Soccer League,24,21,3,6,—,—,—,—,27,27,
Melbourne Knights,Total,Total,48,40,5,7,—,—,—,—,53,47,
Croatia Zagreb,1995–96,Prva HNL,27,12,2,0,—,—,0,0,29,12,
Croatia Zagreb,1996–97,Prva HNL,25,18,3,2,—,—,2,3,30,23,
Croatia Zagreb,1997–98,Prva HNL,25,8,5,2,—,—,8,3,35,13,
Croatia Zagreb,1998–99,Prva HNL,7,2,0,0,—,—,2,2,9,4,
Croatia Zagreb,Total,Total,84,40,10,4,—,—,12,8,103,52,
Celtic,1998–99,Scottish Premier League,9,5,2,3,0,0,0,0,11,8,
Celtic,1999–2000,Scottish Premier League,28,25,1,0,4,1,4,1,37,27,
Celtic,Total,Total,37,30,3,3,4,1,4,1,48,35,
Leeds United,2000–01,Premier League,34,17,2,1,1,0,16,4,53,22,
Leeds United,2001–02,Premier League,33,12,1,1,1,1,7,3,42,17,
Leeds United,2002–03,Premier League,33,20,4,2,1,0,2,0,40,22,
Leeds United,2003–04,Premier League,30,11,1,1,0,0,—,—,31,12,
Leeds United,Total,Total,130,60,8,5,3,1,25,7,166,73,
Middlesbrough,2004–05,Premier League,16,5,0,0,1,0,4,2,21,7,
Middlesbrough,2005–06,Premier League,27,7,5,2,2,1,9,6,43,16,
Middlesbrough,2006–07,Premier League,29,14,7,5,1,0,0,0,37,19,
Middlesbrough,Total,Total,72,26,12,7,4,1,13,8,101,42,
Newcastle United,2007–08,Premier League,26,7,2,0,0,0,—,—,28,7,
Newcastle United,2008–09,Premier League,12,0,0,0,0,0,—,—,12,0,
Newcastle United,Total,Total,38,7,2,0,0,0,—,—,40,7,
Career total,Career total,Career total,409,202,35,26,11,3,54,24,509,255,
