# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bayern Munich II,2005–06,Regionalliga Süd,1,0,—,—,—,—,—,—,1,0
Bayern Munich II,2006–07,Regionalliga Süd,31,2,—,—,—,—,—,—,31,2
Bayern Munich II,2007–08,Regionalliga Süd,10,3,—,—,—,—,—,—,10,3
Bayern Munich II,Total,Total,42,5,—,—,—,—,—,—,42,5
Bayern Munich,2006–07,Bundesliga,1,0,0,0,0,0,1,0,2,0
Borussia Dortmund (loan),2007–08,Bundesliga,13,1,3,0,—,—,—,—,16,1
Borussia Dortmund,2008–09,Bundesliga,12,0,1,0,1,0,—,—,14,0
Borussia Dortmund,2009–10,Bundesliga,30,5,3,0,—,—,—,—,33,5
Borussia Dortmund,2010–11,Bundesliga,32,5,2,0,8,1,—,—,42,6
Borussia Dortmund,2011–12,Bundesliga,33,1,6,1,6,1,1,0,46,3
Borussia Dortmund,2012–13,Bundesliga,28,1,2,1,11,1,1,0,42,3
Borussia Dortmund,2013–14,Bundesliga,23,2,4,0,6,0,1,0,34,2
Borussia Dortmund,2014–15,Bundesliga,24,2,4,0,4,0,—,—,32,2
Borussia Dortmund,2015–16,Bundesliga,30,2,6,0,14,1,—,—,50,3
Borussia Dortmund,Total,Total,225,18,31,2,50,4,3,0,309,24
Bayern Munich,2016–17,Bundesliga,27,1,5,2,9,0,1,0,42,3
Bayern Munich,2017–18,Bundesliga,26,1,5,1,9,1,1,0,41,3
Bayern Munich,2018–19,Bundesliga,21,1,5,0,6,1,1,0,33,2
Bayern Munich,Total,Total,74,3,15,3,24,2,3,0,116,8
Borussia Dortmund,2019–20,Bundesliga,31,1,2,0,8,0,0,0,41,1
Borussia Dortmund,2020–21,Bundesliga,33,5,5,1,9,0,1,0,48,6
Borussia Dortmund,2021–22,Bundesliga,23,1,2,0,7,0,0,0,32,1
Borussia Dortmund,2022–23,Bundesliga,30,1,4,0,4,0,—,—,38,1
Borussia Dortmund,2023–24,Bundesliga,25,3,2,0,13,1,—,—,40,4
Borussia Dortmund,Total,Total,142,11,15,1,41,1,1,0,199,13
Roma,2024–25,Serie A,14,0,1,0,5,1,—,—,20,1
Career total,Career total,Career total,498,38,62,6,120,8,8,0,688,52
