# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Full Members Cup Apps,Full Members Cup Goals,Total Apps,Total Goals
Southampton,1986–87,First Division,24.0,6.0,1.0,0.0,4,2,2,2,31.0,10.0
Southampton,1987–88,First Division,19.0,0.0,1.0,1.0,1,1,1,0,22.0,2.0
Southampton,1988–89,First Division,28.0,9.0,2.0,0.0,4,2,2,0,36.0,11.0
Southampton,1989–90,First Division,35.0,20.0,2.0,1.0,7,3,–,–,44.0,24.0
Southampton,1990–91,First Division,35.0,19.0,3.0,2.0,4,2,1,0,43.0,23.0
Southampton,1991–92,First Division,32.0,6.0,7.0,1.0,6,1,6,7,51.0,15.0
Southampton,1992–93,Premier League,40.0,15.0,1.0,1.0,3,2,–,–,44.0,18.0
Southampton,1993–94,Premier League,38.0,25.0,2.0,0.0,0,0,–,–,40.0,25.0
Southampton,1994–95,Premier League,41.0,20.0,5.0,5.0,3,5,–,–,49.0,30.0
Southampton,1995–96,Premier League,34.0,7.0,5.0,1.0,4,2,–,–,43.0,10.0
Southampton,1996–97,Premier League,31.0,13.0,1.0,0.0,6,3,–,–,38.0,16.0
Southampton,1997–98,Premier League,26.0,11.0,1.0,0.0,3,3,–,–,30.0,14.0
Southampton,1998–99,Premier League,30.0,6.0,1.0,0.0,2,0,–,–,33.0,6.0
Southampton,1999–2000,Premier League,18.0,3.0,0.0,0.0,3,0,–,–,21.0,3.0
Southampton,2000–01,Premier League,8.0,1.0,0.0,0.0,2,1,–,–,10.0,2.0
Southampton,2001–02,Premier League,4.0,0.0,1.0,0.0,0,0,–,–,5.0,0.0
Southampton,Total,Total,443.0,161.0,33.0,12.0,52,27,12,9,540.0,209.0
Eastleigh,2002–03,Wessex Premier Div.,,,,,–,–,–,–,,
Eastleigh,2003–04,Southern Lge. Eastern Div.,,,,,–,–,–,–,,
Guernsey,2012–13,C. Counties Premier Div.,1.0,0.0,0.0,0.0,–,–,–,–,1.0,0.0
Career total,Career total,Career total,444.0,161.0,33.0,12.0,52,27,12,9,541.0,209.0
