# Appearances and goals by club, season and competition
Club,Season,League Apps,League Goals,Cup Apps,Cup Goals,Mitropa Cup Apps,Mitropa Cup Goals,Total Apps,Total Goals
Hertha Vienna,1921–22,8,0,0,0,0,0,8,0
Hertha Vienna,1922–23,17,3,1,0,0,0,18,3
Hertha Vienna,1923–24,8,0,1,0,0,0,9,0
Austria Vienna,1924–25,17,4,0,0,0,0,17,4
Austria Vienna,1925–26,7,2,5,4,0,0,12,6
Austria Vienna,1926–27,23,18,5,3,0,0,28,21
Austria Vienna,1927–28,19,8,2,1,0,0,21,9
Austria Vienna,1928–29,21,7,3,1,0,0,24,8
Austria Vienna,1929–30,18,15,6,1,0,0,24,16
Austria Vienna,1930–31,17,14,9,8,0,0,26,24
Austria Vienna,1931–32,22,15,1,0,0,0,23,15
Austria Vienna,1932–33,21,11,5,6,0,0,26,17
Austria Vienna,1933–34,21,22,3,4,6,5,30,31
Austria Vienna,1934–35,15,9,4,7,2,1,21,17
Austria Vienna,1935–36,17,8,5,6,7,8,29,22
Austria Vienna,1936–37,21,13,4,5,10,4,35,22
Austria Vienna,1937–38,15,9,1,0,6,6,22,15
Austria Vienna,1938–39,11,0,1,0,1,0,12,0
Austria Vienna,Total,298,158,56,46,31,24,385,228
