# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Schalke 04 II,2005–06,Oberliga,1,0,—,—,—,—,—,—,—,—,1,0
Schalke 04,2006–07,Bundesliga,19,0,1,0,2,0,1,0,—,—,23,0
Schalke 04,2007–08,Bundesliga,11,0,1,1,0,0,4,0,—,—,16,1
Schalke 04,Total,Total,30,0,2,1,2,0,5,0,—,—,39,1
Werder Bremen,2007–08,Bundesliga,12,1,—,—,—,—,2,0,—,—,14,1
Werder Bremen,2008–09,Bundesliga,28,3,5,2,—,—,14,0,—,—,47,5
Werder Bremen,2009–10,Bundesliga,31,9,5,0,—,—,10,2,—,—,46,11
Werder Bremen,2010–11,Bundesliga,—,—,1,0,—,—,—,—,—,—,1,0
Werder Bremen,Total,Total,71,13,11,2,—,—,26,2,—,—,108,17
Real Madrid,2010–11,La Liga,36,6,6,3,—,—,11,1,—,—,53,10
Real Madrid,2011–12,La Liga,35,4,5,0,—,—,10,2,2,1,52,7
Real Madrid,2012–13,La Liga,32,9,8,0,—,—,10,1,2,0,52,10
Real Madrid,2013–14,La Liga,2,0,—,—,—,—,—,—,—,—,2,0
Real Madrid,Total,Total,105,19,19,3,—,—,31,4,4,1,159,27
Arsenal,2013–14,Premier League,26,5,5,1,1,0,8,1,—,—,40,7
Arsenal,2014–15,Premier League,22,4,5,1,0,0,5,0,0,0,32,5
Arsenal,2015–16,Premier League,35,6,1,0,0,0,8,2,1,0,45,8
Arsenal,2016–17,Premier League,33,8,3,0,0,0,8,4,—,—,44,12
Arsenal,2017–18,Premier League,26,4,0,0,2,0,7,1,0,0,35,5
Arsenal,2018–19,Premier League,24,5,1,0,0,0,10,1,—,—,35,6
Arsenal,2019–20,Premier League,18,1,1,0,2,0,2,0,—,—,23,1
Arsenal,2020–21,Premier League,0,0,0,0,0,0,0,0,0,0,0,0
Arsenal,Total,Total,184,33,16,2,5,0,48,9,1,0,254,44
Fenerbahçe,2020–21,Süper Lig,10,0,1,0,—,—,—,—,—,—,11,0
Fenerbahçe,2021–22,Süper Lig,22,8,0,0,—,—,4,1,—,—,26,9
Fenerbahçe,Total,Total,32,8,1,0,—,—,4,1,—,—,37,9
İstanbul Başakşehir,2022–23,Süper Lig,4,0,1,0,—,—,2,0,—,—,7,0
Career total,Career total,Career total,427,73,50,8,7,0,116,16,5,1,605,98
