# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Spartak Moscow,2006,Russian Premier League,5,0,2,0,1,0,—,—,8,0
Spartak Moscow,2007,Russian Premier League,16,1,4,2,6,2,1,0,27,5
Spartak Moscow,2008,Russian Premier League,16,1,1,2,5,3,—,—,22,6
Spartak Moscow,2009,Russian Premier League,8,2,1,0,—,—,—,—,9,2
Spartak Moscow,2010,Russian Premier League,2,0,—,—,—,—,—,—,2,0
Spartak Moscow,2011–12,Russian Premier League,41,11,3,1,8,2,—,—,52,14
Spartak Moscow,2012–13,Russian Premier League,25,4,1,0,6,0,—,—,32,4
Spartak Moscow,2014–15,Russian Premier League,13,7,1,0,—,—,—,—,14,7
Spartak Moscow,Total,Total,126,26,13,5,26,7,1,0,166,38
Tom Tomsk (loan),2009,Russian Premier League,10,3,—,—,—,—,—,—,10,3
Tom Tomsk (loan),2010,Russian Premier League,24,10,1,1,—,—,—,—,25,11
Tom Tomsk (loan),Total,Total,34,13,1,1,0,0,0,0,35,14
Rostov (loan),2013–14,Russian Premier League,28,17,3,2,—,—,—,—,31,19
Rostov (loan),2014–15,Russian Premier League,11,1,—,—,—,—,1,0,12,1
Rostov (loan),Total,Total,39,18,3,2,0,0,1,0,43,20
Zenit Saint Petersburg,2015–16,Russian Premier League,30,15,5,2,8,6,1,0,44,23
Zenit Saint Petersburg,2016–17,Russian Premier League,26,13,1,0,6,1,1,0,34,14
Zenit Saint Petersburg,2017–18,Russian Premier League,15,1,1,0,8,1,—,—,24,2
Zenit Saint Petersburg,2018–19,Russian Premier League,27,8,1,0,9,5,—,—,37,13
Zenit Saint Petersburg,2019–20,Russian Premier League,28,17,2,2,6,2,1,0,37,21
Zenit Saint Petersburg,2020–21,Russian Premier League,27,20,1,0,5,1,1,1,34,22
Zenit Saint Petersburg,2021–22,Russian Premier League,28,11,2,1,8,1,1,0,39,13
Zenit Saint Petersburg,Total,Total,181,85,13,5,50,17,5,1,249,108
Arsenal Tula (loan),2017–18,Russian Premier League,10,6,—,—,—,—,—,—,10,6
Adana Demirspor,2022–23,Süper Lig,4,1,1,0,—,—,—,—,5,1
Lokomotiv Moscow,2022–23,Russian Premier League,11,8,2,0,—,—,—,—,13,8
Lokomotiv Moscow,2023–24,Russian Premier League,21,4,5,0,—,—,—,—,26,4
Lokomotiv Moscow,Total,Total,32,12,7,0,—,—,—,—,39,12
Akron Tolyatti,2024–25,Russian Premier League,22,9,2,1,—,—,—,—,24,10
Akron Tolyatti,2025–26,Russian Premier League,10,4,0,0,—,—,—,—,10,4
Akron Tolyatti,Total,Total,32,13,2,1,—,—,—,—,34,14
Career total,Career total,Career total,458,174,40,14,76,24,7,1,581,213
