# List of international goals scored by
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,28 March 2001,"Olympic Stadium, Athens, Greece",Greece,2–1,4–2,2002 FIFA World Cup qualification,
2,2 June 2001,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,1–2,2–2,2002 FIFA World Cup qualification,
3,6 June 2001,"Arena Kombëtare, Tirana, Albania",Albania,2–0,2–0,2002 FIFA World Cup qualification,
4,10 November 2001,"Olympic Stadium, Kyiv, Ukraine",Ukraine,1–1,1–1,2002 FIFA World Cup qualification,
5,14 November 2001,"Westfalenstadion, Dortmund, Germany",Ukraine,1–0,4–1,2002 FIFA World Cup qualification,
6,14 November 2001,"Westfalenstadion, Dortmund, Germany",Ukraine,4–0,4–1,2002 FIFA World Cup qualification,
7,1 June 2002,"Sapporo Dome, Sapporo, Japan",Saudi Arabia,3–0,8–0,2002 FIFA World Cup,
8,21 June 2002,"Ulsan Munsu Football Stadium, Ulsan, South Korea",United States,1–0,1–0,2002 FIFA World Cup,
9,25 June 2002,"Seoul World Cup Stadium, Seoul, South Korea",South Korea,1–0,1–0,2002 FIFA World Cup,
10,21 August 2002,"Stadion Georgi Asparuhov, Sofia, Bulgaria",Bulgaria,1–1,2–2,Friendly,
11,7 September 2002,"Darius and Girėnas Stadium, Kaunas, Lithuania",Lithuania,1–0,2–0,UEFA Euro 2004 qualifying,
12,16 October 2002,"Niedersachsenstadion, Hanover, Germany",Faroe Islands,1–0,2–1,UEFA Euro 2004 qualifying,
13,10 September 2003,"Westfalenstadion, Dortmund, Germany",Scotland,2–0,2–1,UEFA Euro 2004 qualifying,
14,11 October 2003,"Volksparkstadion, Hamburg, Germany",Iceland,1–0,3–0,UEFA Euro 2004 qualifying,
15,31 March 2004,"RheinEnergieStadion, Cologne, Germany",Belgium,3–0,3–0,Friendly,
16,27 May 2004,"Dreisamstadion, Freiburg, Germany",Malta,1–0,7–0,Friendly,
17,27 May 2004,"Dreisamstadion, Freiburg, Germany",Malta,2–0,7–0,Friendly,
18,27 May 2004,"Dreisamstadion, Freiburg, Germany",Malta,5–0,7–0,Friendly,
19,27 May 2004,"Dreisamstadion, Freiburg, Germany",Malta,6–0,7–0,Friendly,
20,23 June 2004,"Estádio José Alvalade, Lisbon, Portugal",Czech Republic,1–0,1–2,UEFA Euro 2004,
21,16 December 2004,"Nissan Stadium, Yokohama, Japan",Japan,2–0,3–0,Friendly,
22,19 December 2004,"Busan Asiad Main Stadium, Busan, South Korea",South Korea,1–1,1–3,Friendly,
23,4 June 2005,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,2–1,4–1,Friendly,
24,4 June 2005,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,3–1,4–1,Friendly,
25,15 June 2005,"Waldstadion, Frankfurt, Germany",Australia,3–2,4–3,2005 FIFA Confederations Cup,
26,18 June 2005,"RheinEnergieStadion, Cologne, Germany",Tunisia,1–0,3–0,2005 FIFA Confederations Cup,
27,25 June 2005,"Frankenstadion, Nuremberg, Germany",Brazil,2–2,2–3,2005 FIFA Confederations Cup,
28,29 June 2005,"Zentralstadion, Leipzig, Germany",Mexico,4–3,4–3,2005 FIFA Confederations Cup,
29,17 August 2005,"De Kuip, Rotterdam, Netherlands",Netherlands,1–2,2–2,Friendly,
30,22 March 2006,"Westfalenstadion, Dortmund, Germany",United States,4–0,4–1,Friendly,
31,2 June 2006,"Borussia-Park, Mönchengladbach, Germany",Colombia,1–0,3–0,Friendly,
32,6 September 2006,"San Marino Stadium, Serravalle, San Marino",San Marino,3–0,13–0,UEFA Euro 2008 qualifying,
33,7 October 2006,"Ostseestadion, Rostock, Germany",Georgia,2–0,2–0,Friendly,
34,11 October 2006,"Tehelné pole, Bratislava, Slovakia",Slovakia,2–0,4–1,UEFA Euro 2008 qualifying,
35,15 November 2006,"GSP Stadium, Strovolos, Cyprus",Cyprus,1–0,1–1,UEFA Euro 2008 qualifying,
36,31 May 2008,"Veltins-Arena, Gelsenkirchen, Germany",Serbia,2–1,2–1,Friendly,
37,16 June 2008,"Ernst-Happel-Stadion, Vienna, Austria",Austria,1–0,1–0,UEFA Euro 2008,
38,19 June 2008,"St. Jakob-Park, Basel, Switzerland",Portugal,3–2,3–2,UEFA Euro 2008,
39,11 October 2008,"Westfalenstadion, Dortmund, Germany",Russia,2–0,2–1,2010 FIFA World Cup qualification,
40,28 March 2009,"Zentralstadion, Leipzig, Germany",Liechtenstein,1–0,4–0,2010 FIFA World Cup qualification,
41,1 April 2009,"Millennium Stadium, Cardiff, Wales",Wales,1–0,2–0,2010 FIFA World Cup qualification,
42,9 September 2009,"Niedersachsenstadion, Hanover, Germany",Azerbaijan,1–0,4–0,2010 FIFA World Cup qualification,
