# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Liverpool,1996–97,Premier League,2,1,0,0,0,0,0,0,—,—,2,1
Liverpool,1997–98,Premier League,36,18,0,0,4,4,4,1,—,—,44,23
Liverpool,1998–99,Premier League,30,18,2,2,2,1,6,2,—,—,40,23
Liverpool,1999–2000,Premier League,27,11,1,0,2,1,—,—,—,—,30,12
Liverpool,2000–01,Premier League,28,16,5,3,2,1,11,4,—,—,46,24
Liverpool,2001–02,Premier League,29,19,2,2,0,0,10,5,2,2,43,28
Liverpool,2002–03,Premier League,35,19,2,0,4,2,12,7,1,0,54,28
Liverpool,2003–04,Premier League,29,16,3,1,0,0,6,2,—,—,38,19
Liverpool,Total,Total,216,118,15,8,14,9,49,21,3,2,297,158
Real Madrid,2004–05,La Liga,36,13,4,2,—,—,5,1,—,—,45,16
Newcastle United,2005–06,Premier League,11,7,0,0,0,0,0,0,—,—,11,7
Newcastle United,2006–07,Premier League,3,0,0,0,0,0,0,0,—,—,3,0
Newcastle United,2007–08,Premier League,29,11,3,1,1,1,—,—,—,—,33,13
Newcastle United,2008–09,Premier League,28,8,2,0,2,2,—,—,—,—,32,10
Newcastle United,Total,Total,71,26,5,1,3,3,0,0,—,—,79,30
Manchester United,2009–10,Premier League,19,3,1,0,4,2,6,4,1,0,31,9
Manchester United,2010–11,Premier League,11,2,2,1,1,2,2,0,1,0,17,5
Manchester United,2011–12,Premier League,1,0,0,0,2,3,1,0,0,0,4,3
Manchester United,Total,Total,31,5,3,1,7,7,9,4,2,0,52,17
Stoke City,2012–13,Premier League,8,1,1,0,0,0,—,—,—,—,9,1
Total,Total,Total,362,163,28,12,24,19,63,26,5,2,482,222
