# List of international goals scored by Michael Owen
No.,Date,Venue,Opponent,Score,Result,Competition
1,27 May 1998,"Stade Mohamed V, Casablanca",Morocco,1–0,1–0,1998 King Hassan II International Cup Tournament
2,22 June 1998,"Stade de Toulouse, Toulouse",Romania,1–1,1–2,1998 FIFA World Cup
3,30 June 1998,"Stade Geoffroy-Guichard, Saint-Étienne",Argentina,2–1,2–2 (3–4p),1998 FIFA World Cup
4,14 October 1998,"Stade Josy Barthel, Luxembourg City",Luxembourg,1–0,3–0,UEFA Euro 2000 qualification
5,4 September 1999,"Wembley Stadium, London",Luxembourg,6–0,6–0,UEFA Euro 2000 qualification
6,27 May 2000,"Wembley Stadium, London",Brazil,1–0,1–1,Friendly
7,20 June 2000,"Stade du Pays de Charleroi, Charleroi",Romania,2–1,2–3,UEFA Euro 2000
8,2 September 2000,"Stade de France, Paris",France,1–1,1–1,Friendly
9,24 March 2001,"Anfield, Liverpool",Finland,1–1,2–1,2002 FIFA World Cup qualification
10,28 March 2001,"Qemal Stafa, Tirana",Albania,1–0,3–1,2002 FIFA World Cup qualification
11,1 September 2001,"Olympic Stadium, Munich",Germany,1–1,5–1,2002 FIFA World Cup qualification
12,1 September 2001,"Olympic Stadium, Munich",Germany,3–1,5–1,2002 FIFA World Cup qualification
13,1 September 2001,"Olympic Stadium, Munich",Germany,4–1,5–1,2002 FIFA World Cup qualification
14,5 September 2001,"St James' Park, Newcastle",Albania,1–0,2–0,2002 FIFA World Cup qualification
15,17 April 2002,"Anfield, Liverpool",Paraguay,1–0,4–0,Friendly
16,21 May 2002,"Jeju World Cup Stadium, Seogwipo",South Korea,1–0,1–1,Friendly
17,15 June 2002,"Stadium Big Swan, Niigata",Denmark,2–0,3–0,2002 FIFA World Cup
18,21 June 2002,"Shizuoka Stadium, Shizuoka",Brazil,1–0,1–2,2002 FIFA World Cup
19,12 October 2002,"Tehelné pole, Bratislava",Slovakia,2–1,2–1,UEFA Euro 2004 qualification
20,29 March 2003,"Rheinpark Stadion, Vaduz",Liechtenstein,1–0,2–0,UEFA Euro 2004 qualification
21,11 June 2003,"Riverside Stadium, Middlesbrough",Slovakia,1–1,2–1,UEFA Euro 2004 qualification
22,11 June 2003,"Riverside Stadium, Middlesbrough",Slovakia,2–1,2–1,UEFA Euro 2004 qualification
23,20 August 2003,"Portman Road, Ipswich",Croatia,2–0,3–1,Friendly
24,10 September 2003,"Old Trafford, Manchester",Liechtenstein,1–0,2–0,UEFA Euro 2004 qualification
25,1 June 2004,"City of Manchester Stadium, Manchester",Japan,1–0,1–1,2004 FA Summer Tournament
26,24 June 2004,"Estádio da Luz, Lisbon",Portugal,1–0,2–2 (5–6p),UEFA Euro 2004
27,18 August 2004,"St James' Park, Newcastle",Ukraine,2–0,3–0,Friendly
28,13 October 2004,"Tofik Bakhramov Stadium, Baku",Azerbaijan,1–0,1–0,2006 FIFA World Cup qualification
29,26 March 2005,"Old Trafford, Manchester",Northern Ireland,2–0,4–0,2006 FIFA World Cup qualification
30,31 May 2005,"Giants Stadium, East Rutherford",Colombia,1–0,3–2,Friendly
31,31 May 2005,"Giants Stadium, East Rutherford",Colombia,2–0,3–2,Friendly
32,31 May 2005,"Giants Stadium, East Rutherford",Colombia,3–1,3–2,Friendly
33,12 October 2005,"Old Trafford, Manchester",Poland,1–0,2–1,2006 FIFA World Cup qualification
34,12 November 2005,"Stade de Genève, Geneva",Argentina,2–2,3–2,Friendly
35,12 November 2005,"Stade de Genève, Geneva",Argentina,3–2,3–2,Friendly
36,3 June 2006,"Old Trafford, Manchester",Jamaica,4–0,6–0,Friendly
37,6 June 2007,"A. Le Coq Arena, Tallinn",Estonia,3–0,3–0,UEFA Euro 2008 qualification
38,8 September 2007,"Wembley Stadium, London",Israel,2–0,3–0,UEFA Euro 2008 qualification
39,12 September 2007,"Wembley Stadium, London",Russia,1–0,3–0,UEFA Euro 2008 qualification
40,12 September 2007,"Wembley Stadium, London",Russia,2–0,3–0,UEFA Euro 2008 qualification
