# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
FC 08 Homburg,1998–99,Regionalliga West/Südwest,18,1,—,—,—,—,—,—,—,—,18,1
1. FC Kaiserslautern II,1999–2000,Regionalliga West/Südwest,36,11,—,—,—,—,—,—,—,—,36,11
1. FC Kaiserslautern II,2000–01,Oberliga Südwest,14,15,—,—,—,—,—,—,—,—,14,15
1. FC Kaiserslautern II,Total,Total,50,26,—,—,—,—,—,—,—,—,50,26
1. FC Kaiserslautern,1999–2000,Bundesliga,2,0,0,0,0,0,0,0,—,—,2,0
1. FC Kaiserslautern,2000–01,Bundesliga,29,9,2,0,2,0,12,2,—,—,45,11
1. FC Kaiserslautern,2001–02,Bundesliga,31,16,4,0,—,—,—,—,—,—,35,16
1. FC Kaiserslautern,2002–03,Bundesliga,32,9,4,4,—,—,—,—,—,—,36,13
1. FC Kaiserslautern,2003–04,Bundesliga,26,10,1,1,—,—,2,1,—,—,29,12
1. FC Kaiserslautern,Total,Total,120,44,11,5,2,0,14,3,—,—,147,52
Werder Bremen,2004–05,Bundesliga,32,15,4,0,1,0,8,2,—,—,45,17
Werder Bremen,2005–06,Bundesliga,26,25,3,2,2,0,9,4,—,—,40,31
Werder Bremen,2006–07,Bundesliga,31,13,1,0,2,0,13,2,—,—,47,15
Werder Bremen,Total,Total,89,53,8,2,5,0,30,8,—,—,132,63
Bayern Munich,2007–08,Bundesliga,27,10,6,5,2,1,12,5,—,—,47,21
Bayern Munich,2008–09,Bundesliga,26,10,4,3,—,—,8,7,—,—,38,20
Bayern Munich,2009–10,Bundesliga,25,3,5,2,—,—,8,1,—,—,38,6
Bayern Munich,2010–11,Bundesliga,20,1,4,3,—,—,2,1,1,1,27,6
Bayern Munich,Total,Total,98,24,19,13,2,1,30,14,1,1,149,53
Lazio,2011–12,Serie A,27,12,2,0,—,—,6,3,—,—,35,15
Lazio,2012–13,Serie A,29,15,2,0,—,—,5,1,—,—,36,16
Lazio,2013–14,Serie A,25,7,0,0,—,—,3,1,1,0,29,8
Lazio,2014–15,Serie A,34,13,6,3,—,—,—,—,—,—,40,16
Lazio,2015–16,Serie A,24,7,1,0,—,—,4,1,1,0,30,8
Lazio,Total,Total,139,54,11,3,0,0,18,6,2,0,170,63
Career total,Career total,Career total,514,202,49,23,9,1,92,31,3,1,667,258
