# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Fulham,2013–14,Premier League,2,0,1,0,0,0,—,—,—,—,3,0
Fulham,2014–15,Championship,11,0,3,0,1,2,—,—,—,—,15,2
Fulham,2015–16,Championship,43,15,1,1,2,1,—,—,—,—,46,17
Fulham,Total,Total,56,15,5,1,3,3,—,—,—,—,64,19
Celtic,2016–17,Scottish Premiership,29,17,4,5,4,5,12,5,—,—,49,32
Celtic,2017–18,Scottish Premiership,25,9,4,3,2,3,8,1,—,—,39,16
Celtic,2018–19,Scottish Premiership,1,0,—,—,1,1,4,2,—,—,6,3
Celtic,Total,Total,55,26,8,8,7,9,24,8,—,—,94,51
Lyon,2018–19,Ligue 1,33,15,5,3,2,1,6,1,—,—,46,20
Lyon,2019–20,Ligue 1,27,16,5,4,4,2,10,2,—,—,46,24
Lyon,2020–21,Ligue 1,16,1,0,0,—,—,—,—,—,—,16,1
Lyon,2021–22,Ligue 1,30,21,0,0,—,—,6,1,—,—,36,22
Lyon,2022–23,Ligue 1,23,3,5,0,—,—,—,—,—,—,28,3
Lyon,Total,Total,129,56,15,7,6,3,22,4,—,—,172,70
Atlético Madrid (loan),2020–21,La Liga,5,0,0,0,—,—,2,0,—,—,7,0
Al-Ettifaq,2023–24,Saudi Pro League,25,12,1,2,—,—,—,—,—,—,26,14
Al-Ettifaq,2024–25,Saudi Pro League,19,7,2,0,—,—,—,—,3,2,24,9
Al-Ettifaq,Total,Total,44,19,3,2,—,—,—,—,3,2,50,23
Career total,Career total,Career total,289,116,31,18,16,15,48,12,3,2,387,163
