# Appearances and goals by national team, year and competition
National team,Year,Competitive Apps,Competitive Goals,Friendly Apps,Friendly Goals,Total Apps,Total Goals
Brazil,2010,0,0,2,1,2,1
Brazil,2011,4,2,9,5,13,7
Brazil,2012,0,0,12,9,12,9
Brazil,2013,5,4,14,6,19,10
Brazil,2014,5,4,9,11,14,15
Brazil,2015,4,1,5,3,9,4
Brazil,2016,6,4,0,0,6,4
Brazil,2017,6,2,2,1,8,3
Brazil,2018,5,2,8,5,13,7
Brazil,2019,0,0,5,1,5,1
Brazil,2020,2,3,0,0,2,3
Brazil,2021,13,6,0,0,13,6
Brazil,2022,4,3,4,4,8,7
Brazil,2023,4,2,0,0,4,2
Total,Total,58,33,70,46,128,79
