# List of international goals scored by Nikos Anastopoulos
No.,Date,Venue,Opponent,Score,Result,Competition
1,16 January 1980,"GSP Stadium, Strovolos, Cyprus",Cyprus,1–0,1–1,Friendly
2,14 June 1980,"Stadio Olimpico, Rome, Italy",Czechoslovakia,1–1,1–3,UEFA Euro 1980
3,23 September 1981,"Charliaou Stadium, Thessaloniki, Greece",Sweden,1–0,2–1,Friendly
4,14 October 1981,"Charliaou Stadium, Thessaloniki, Greece",Denmark,1–2,2–3,1982 FIFA World Cup qualification
5,20 January 1982,"Nikos Goumas Stadium, Athens, Greece",Portugal,1–0,1–2,Friendly
6,9 October 1982,"Stade Municipal, Luxembourg",Luxembourg,1–0,2–0,UEFA Euro 1984 qualifying
7,9 October 1982,"Stade Municipal, Luxembourg",Luxembourg,2–0,2–0,UEFA Euro 1984 qualifying
8,1 December 1982,"Olympic Stadium, Athens, Greece",Switzerland,1–1,1–3,Friendly
9,15 May 1983,"Népstadion, Budapest, Hungary",Hungary,1–0,3–2,UEFA Euro 1984 qualifying
10,3 December 1983,"Kaftanzoglio Stadium, Thessaloniki, Greece",Hungary,1–0,2–2,UEFA Euro 1984 qualifying
11,3 December 1983,"Kaftanzoglio Stadium, Thessaloniki, Greece",Hungary,2–2,2–2,UEFA Euro 1984 qualifying
12,15 February 1984,"Olympic Stadium, Athens, Greece",East Germany,1–0,1–3,Friendly
13,11 April 1984,"Leoforos Alexandras Stadium, Athens, Greece",Cyprus,1–0,1–1,Friendly
14,1 September 1984,"Tsirio Stadium, Limassol, Cyprus",Cyprus,2–0,2–0,Friendly
15,5 December 1984,"Olympic Stadium, Athens, Greece",Romania,1–0,2–1,Friendly
16,5 December 1984,"Olympic Stadium, Athens, Greece",Romania,2–1,2–1,Friendly
17,9 January 1985,"Bloomfield Stadium, Tel Aviv, Israel",Israel,1–0,2–0,Friendly
18,19 May 1985,"Olympic Stadium, Athens, Greece",Poland,1–1,1–4,1986 FIFA World Cup qualification
19,26 March 1986,"Olympic Stadium, Athens, Greece",East Germany,1–0,2–0,Friendly
20,15 October 1986,"Lech Stadium, Poznań, Poland",Poland,1–1,1–2,UEFA Euro 1988 qualifying
21,12 November 1986,"Olympic Stadium, Athens, Greece",Hungary,2–0,2–1,UEFA Euro 1988 qualifying
22,3 December 1986,"Makario Stadium, Nicosia, Cyprus",Cyprus,4–2,4–2,UEFA Euro 1988 qualifying
23,14 January 1987,"Olympic Stadium, Athens, Greece",Cyprus,1–0,3–1,UEFA Euro 1988 qualifying
24,14 January 1987,"Olympic Stadium, Athens, Greece",Cyprus,3–1,3–1,UEFA Euro 1988 qualifying
25,7 October 1987,"Steaua Stadium, Bucharest, Romania",Romania,1–0,2–2,Friendly
26,21 May 1988,"Varsity Stadium, Toronto, Canada",Canada,2–0,3–0,1988 Matthews Cup
27,21 May 1988,"Varsity Stadium, Toronto, Canada",Canada,3–0,3–0,1988 Matthews Cup
28,23 May 1988,"Varsity Stadium, Toronto, Canada",Chile,1–0,1–0,1988 Matthews Cup
29,21 September 1988,"BJK İnönü Stadium, Istanbul, Turkey",Turkey,1–1,1–3,Friendly
