# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
AC Milan,1949–50,Serie A,37,18,-,-,-,-,-,-,37,18
AC Milan,1950–51,Serie A,31,13,-,-,-,-,2,0,33,13
AC Milan,1951–52,Serie A,38,9,-,-,-,-,-,-,38,9
AC Milan,1952–53,Serie A,30,6,-,-,-,-,2,1,32,7
AC Milan,1953–54,Serie A,31,10,-,-,-,-,-,-,31,10
AC Milan,1954–55,Serie A,28,6,-,-,-,-,1,1,29,7
AC Milan,1955–56,Serie A,31,1,-,-,6,0,2,0,39,1
AC Milan,1956–57,Serie A,26,4,-,-,-,-,2,1,28,5
AC Milan,1957–58,Serie A,24,7,-,-,8,2,-,-,32,9
AC Milan,1958–59,Serie A,30,1,2,1,-,-,-,-,32,2
AC Milan,1959–60,Serie A,28,3,-,-,4,0,3,2,35,5
AC Milan,1960–61,Serie A,25,3,1,-,-,-,2,-,28,3
Total,Total,Total,359,81,3,1,18,2,14,5,394,89
