# List of international goals scored by Nils Liedholm
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,15 June 1947,"Parken, Copenhagen, Denmark",Denmark,3–0,4–1,1937–47 Nordic Football Championship,
2,24 August 1947,"Ryavallen, Örebro, Sweden",Finland,1–0,7–0,1937–47 Nordic Football Championship,
3,24 August 1947,"Ryavallen, Örebro, Sweden",Finland,6–0,7–0,1937–47 Nordic Football Championship,
4,14 September 1947,"Råsunda Stadium, Solna, Sweden",Poland,5–2,5–4,Friendly,
5,5 October 1947,"Råsunda Stadium, Solna, Sweden",Norway,2–0,4–1,1937–47 Nordic Football Championship,
6,11 July 1948,"Råsunda Stadium, Solna, Sweden",Austria,1–1,3–2,Friendly,
7,5 August 1948,"Selhurst Park, London, England",South Korea,1–0,12–0,1948 Summer Olympics,
8,5 August 1948,"Selhurst Park, London, England",South Korea,6–0,12–0,1948 Summer Olympics,
9,10 October 1948,"Råsunda Stadium, Solna, Sweden",Denmark,1–0,1–0,1948–51 Nordic Football Championship,
10,2 June 1949,"Råsunda Stadium, Solna, Sweden",Republic of Ireland,3–1,3–1,1950 FIFA World Cup qualifier,
11,8 June 1958,"Råsunda Stadium, Solna, Sweden",Mexico,2–0,3–0,1958 FIFA World Cup,
12,29 June 1958,"Råsunda Stadium, Solna, Sweden",Brazil,1–0,2–5,1958 FIFA World Cup,
