# List of international goals scored by Nuno Gomes
No.,Date,Venue,Opponent,Score,Result,Competition
1,12 June 2000,"Philips Stadion, Eindhoven, Netherlands",England,3–2,3–2,UEFA Euro 2000
2,24 June 2000,"Amsterdam Arena, Amsterdam, Netherlands",Turkey,1–0,2–0,UEFA Euro 2000
3,24 June 2000,"Amsterdam Arena, Amsterdam, Netherlands",Turkey,2–0,2–0,UEFA Euro 2000
4,28 June 2000,"King Baudouin Stadium, Brussels, Belgium",France,1–0,1–2,UEFA Euro 2000
5,1 September 2001,"Camp d'Esports, Lleida, Andorra",Andorra,1–0,7–1,2002 World Cup qualification
6,1 September 2001,"Camp d'Esports, Lleida, Andorra",Andorra,3–0,7–1,2002 World Cup qualification
7,1 September 2001,"Camp d'Esports, Lleida, Andorra",Andorra,5–1,7–1,2002 World Cup qualification
8,1 September 2001,"Camp d'Esports, Lleida, Andorra",Andorra,7–1,7–1,2002 World Cup qualification
9,5 September 2001,"Antonis Papadopoulos, Larnaca, Cyprus",Cyprus,1–1,3–1,2002 World Cup qualification
10,6 October 2001,"Estádio da Luz (1954), Lisbon, Portugal",Estonia,2–0,5–0,2002 World Cup qualification
11,6 October 2001,"Estádio da Luz (1954), Lisbon, Portugal",Estonia,4–0,5–0,2002 World Cup qualification
12,14 November 2001,"Estádio José Alvalade (1956), Lisbon, Portugal",Angola,2–1,5–1,Friendly
13,14 November 2001,"Estádio José Alvalade (1956), Lisbon, Portugal",Angola,4–1,5–1,Friendly
14,25 May 2002,"Estádio Campo Desportivo, Macau, China",China,1–0,2–0,Friendly
15,19 November 2003,"Estádio Dr. Magalhães Pessoa, Leiria, Portugal",Kuwait,6–0,8–0,Friendly
16,19 November 2003,"Estádio Dr. Magalhães Pessoa, Leiria, Portugal",Kuwait,7–0,8–0,Friendly
17,19 November 2003,"Estádio Dr. Magalhães Pessoa, Leiria, Portugal",Kuwait,8–0,8–0,Friendly
18,28 April 2004,"Estádio Cidade de Coimbra, Coimbra, Portugal",Sweden,2–2,2–2,Friendly
19,29 May 2004,"Estádio Municipal de Águeda, Águeda Municipality, Portugal",Luxembourg,2–0,3–0,Friendly
20,5 May 2004,"Estádio do Bonfim, Setúbal, Portugal",Lithuania,3–1,4–1,Friendly
21,20 June 2004,"Estádio José Alvalade, Lisbon, Portugal",Spain,1–0,1–0,UEFA Euro 2004
22,26 March 2005,"Estádio Cidade de Barcelos, Barcelos Municipality, Portugal, Portugal",Canada,4–1,4–1,Friendly
23,8 October 2005,"Estádio Municipal de Aveiro, Aveiro Municipality, Portugal",Liechtenstein,2–1,2–1,2006 World Cup qualification
24,8 July 2006,"Gottlieb-Daimler-Stadion, Stuttgart, Germany",Germany,1–3,1–3,2006 FIFA World Cup
25,6 September 2006,"Helsinki Olympic Stadium, Helsinki, Finland",Finland,1–1,1–1,Euro 2008 qualifying
26,11 October 2006,"Stadion Śląski, Chorzów, Poland",Poland,1–2,1–2,Euro 2008 qualifying
27,24 March 2007,"Estádio José Alvalade, Lisbon, Portugal",Belgium,1–0,4–0,Euro 2008 qualifying
28,26 March 2008,"Esprit Arena, Düsseldorf, Germany",Greece,1–2,1–2,Friendly
29,19 June 2008,"St. Jakob-Park, Basel, Switzerland",Germany,1–2,2–3,UEFA Euro 2008
