# List of international goals scored by Oliver Bierhoff
No.,Date,Venue,Opponent,Score,Result,Competition
1,27 March 1996,"Olympic Stadium, Munich, Germany",Denmark,1–0,2–0,Friendly
2,27 March 1996,"Olympic Stadium, Munich, Germany",Denmark,2–0,2–0,Friendly
3,4 June 1996,"Carl-Benz-Stadion, Mannheim, Germany",Liechtenstein,3–0,9–1,Friendly
4,30 June 1996,"Wembley Stadium, London, England",Czech Republic,1–1,2–1 (a.e.t.),UEFA Euro 1996
5,30 June 1996,"Wembley Stadium, London, England",Czech Republic,2–1,2–1 (a.e.t.),UEFA Euro 1996
6,4 September 1996,"Górnik Stadium, Zabrze, Poland",Poland,1–0,2–0,Friendly
7,30 April 1997,"Weserstadion, Bremen, Germany",Ukraine,1–0,2–0,FIFA World Cup 1998 qualifying
8,20 August 1997,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,1–1,3–1,FIFA World Cup 1998 qualifying
9,20 August 1997,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,2–1,3–1,FIFA World Cup 1998 qualifying
10,20 August 1997,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,3–1,3–1,FIFA World Cup 1998 qualifying
11,11 October 1997,"Niedersachsenstadion, Hanover, Germany",Albania,2–1,4–3,FIFA World Cup 1998 qualifying
12,11 October 1997,"Niedersachsenstadion, Hanover, Germany",Albania,4–3,4–3,FIFA World Cup 1998 qualifying
13,15 November 1997,"Rheinstadion, Düsseldorf, Germany",South Africa,2–0,3–0,Friendly
14,30 May 1998,"Waldstadion, Frankfurt, Germany",Colombia,1–0,3–1,Friendly
15,30 May 1998,"Waldstadion, Frankfurt, Germany",Colombia,2–0,3–1,Friendly
16,5 June 1998,"Carl-Benz-Stadion, Mannheim, Germany",Luxembourg,5–0,7–0,Friendly
17,5 June 1998,"Carl-Benz-Stadion, Mannheim, Germany",Luxembourg,6–0,7–0,Friendly
18,21 June 1998,"Stade Félix-Bollaert, Lens, France",Yugoslavia,2–2,2–2,FIFA World Cup 1998
19,25 June 1998,"Stade de la Mosson, Montpellier, France",Iran,1–0,2–0,FIFA World Cup 1998
20,29 June 1998,"Stade de la Mosson, Montpellier, France",Mexico,2–1,2–1,FIFA World Cup 1998
21,14 October 1998,"Stadionul Republican, Chişinău, Moldova",Moldova,3–1,3–1,UEFA Euro 2000 qualifying
22,4 June 1999,"BayArena, Leverkusen, Germany",Moldova,1–0,6–1,UEFA Euro 2000 qualifying
23,4 June 1999,"BayArena, Leverkusen, Germany",Moldova,4–0,6–1,UEFA Euro 2000 qualifying
24,4 June 1999,"BayArena, Leverkusen, Germany",Moldova,6–1,6–1,UEFA Euro 2000 qualifying
25,4 September 1999,"Olympic Stadium, Helsinki, Finland",Finland,1–0,2–1,UEFA Euro 2000 qualifying
26,4 September 1999,"Olympic Stadium, Helsinki, Finland",Finland,2–0,2–1,UEFA Euro 2000 qualifying
27,8 September 1999,"Westfalenstadion, Dortmund, Germany",Northern Ireland,1–0,4–0,UEFA Euro 2000 qualifying
28,3 June 2000,"Frankenstadion, Nuremberg, Germany",Czech Republic,2–1,3–2,Friendly
29,3 June 2000,"Frankenstadion, Nuremberg, Germany",Czech Republic,3–2,3–2,Friendly
30,7 June 2000,"Dreisamstadion, Freiburg, Germany",Liechtenstein,1–0,8–2,Friendly
31,15 August 2001,"Népstadion, Budapest, Hungary",Hungary,5–2,5–2,Friendly
32,13 February 2002,"Fritz Walter Stadion, Kaiserslautern, Germany",Israel,5–1,7–1,Friendly
33,27 March 2002,"Ostseestadion, Rostock, Germany",United States,3–1,4–2,Friendly
34,9 May 2002,"Dreisamstadion, Freiburg, Germany",Kuwait,2–0,7–0,Friendly
35,9 May 2002,"Dreisamstadion, Freiburg, Germany",Kuwait,4–0,7–0,Friendly
36,9 May 2002,"Dreisamstadion, Freiburg, Germany",Kuwait,6–0,7–0,Friendly
37,1 June 2002,"Sapporo Dome, Sapporo, Japan",Saudi Arabia,7–0,8–0,FIFA World Cup 2002
