# Appearances and goals by club, season and competition
Club,Season,Apps,Goals
Boca Juniors,1980,21,2
Boca Juniors,1981,31,1
Boca Juniors,1982,43,3
Boca Juniors,1983,19,1
Boca Juniors,1984,28,1
Boca Juniors,1985,13,1
River Plate,1985–86,35,1
River Plate,1986–87,18,1
River Plate,1987–88,28,2
Logroñés,1988–89,34,1
Real Madrid,1989–90,31,2
Vélez Sarsfield,1990–91,31,1
Vélez Sarsfield,1991–92,24,4
Ancona,1992,7,1
América,1992–93,27,4
San Lorenzo,1994,22,1
San Lorenzo,1995,35,3
San Lorenzo,1996,27,5
San Lorenzo,1997,17,1
Lanús,1997,13,2
