# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Rennes II,2014–15,CFA2,18,13,—,—,—,—,—,—,18,13
Rennes II,2015–16,CFA2,4,0,—,—,—,—,—,—,4,0
Rennes II,Total,Total,22,13,—,—,—,—,—,—,22,13
Rennes,2015–16,Ligue 1,26,12,2,0,—,—,1,0,29,12
Borussia Dortmund,2016–17,Bundesliga,32,6,6,2,10,2,1,0,49,10
Borussia Dortmund,2017–18,Bundesliga,0,0,0,0,—,—,1,0,1,0
Borussia Dortmund,Total,Total,32,6,6,2,10,2,2,0,50,10
Barcelona,2017–18,La Liga,17,3,3,0,3,1,—,—,23,4
Barcelona,2018–19,La Liga,29,8,4,2,8,3,1,1,42,14
Barcelona,2019–20,La Liga,5,1,0,0,4,0,0,0,9,1
Barcelona,2020–21,La Liga,30,6,6,2,6,3,2,0,44,11
Barcelona,2021–22,La Liga,21,1,1,1,9,0,1,0,32,2
Barcelona,2022–23,La Liga,25,5,2,2,6,1,2,0,35,8
Barcelona,Total,Total,127,24,16,7,36,8,6,1,185,40
Paris Saint-Germain,2023–24,Ligue 1,26,3,4,1,11,2,1,0,42,6
Paris Saint-Germain,2024–25,Ligue 1,29,21,4,3,15,8,5,3,53,35
Paris Saint-Germain,2025–26,Ligue 1,3,2,0,0,0,0,1,0,4,2
Paris Saint-Germain,Total,Total,58,26,8,4,26,10,7,3,99,43
Career total,Career total,Career total,265,81,32,13,72,20,16,4,385,118
