# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Leicester City,2015–16,Premier League,0,0,2,0,1,0,—,—,—,—,3,0
Leicester City,2016–17,Premier League,12,1,4,0,1,0,2,0,0,0,19,1
Leicester City,2017–18,Premier League,24,0,4,0,4,0,—,—,—,—,32,0
Leicester City,2018–19,Premier League,36,0,0,0,0,0,—,—,—,—,36,0
Leicester City,2019–20,Premier League,27,3,3,0,3,0,—,—,—,—,33,3
Leicester City,Total,Total,99,4,13,0,9,0,2,0,0,0,123,4
Huddersfield Town (loan),2015–16,Championship,8,0,—,—,—,—,—,—,—,—,8,0
Leicester City U23,2016–17,—,—,—,—,—,—,—,—,—,1,0,1,0
Chelsea,2020–21,Premier League,27,3,3,0,2,0,10,1,—,—,42,4
Chelsea,2021–22,Premier League,7,3,0,0,2,0,4,0,0,0,13,3
Chelsea,2022–23,Premier League,23,2,0,0,0,0,7,0,—,—,30,2
Chelsea,2023–24,Premier League,13,0,5,0,3,0,—,—,—,—,21,0
Chelsea,2024–25,Premier League,0,0,0,0,1,0,0,0,0,0,1,0
Chelsea,Total,Total,70,8,8,0,8,0,21,1,0,0,107,9
Crystal Palace (loan),2024–25,Premier League,8,1,3,0,—,—,—,—,—,—,11,1
Strasbourg,2025–26,Ligue 1,3,0,0,0,—,—,0,0,—,—,3,0
Career total,Career total,Career total,188,13,24,0,17,0,23,1,1,0,253,14
