# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Marsala,1998–99,Serie C1,24,3,3,3,—,—,—,—,—,—,27,6
Monza,1999–2000,Serie B,3,0,0,0,—,—,—,—,—,—,3,0
Nice,2000–01,French Division 2,5,0,0,0,0,0,—,—,—,—,5,0
Nice,2001–02,French Division 2,35,1,1,0,1,0,—,—,—,—,37,1
Nice,Total,Total,67,1,1,0,1,0,—,—,—,—,42,1
Monaco,2002–03,Ligue 1,36,2,1,0,4,0,0,0,—,—,41,2
Monaco,2003–04,Ligue 1,33,0,1,0,0,0,13,0,—,—,47,0
Monaco,2004–05,Ligue 1,36,0,5,1,2,0,9,0,—,—,52,1
Monaco,2005–06,Ligue 1,15,0,0,0,1,0,7,0,—,—,23,0
Monaco,Total,Total,120,2,7,1,7,0,29,0,—,—,163,3
Manchester United,2005–06,Premier League,11,0,1,0,2,0,0,0,—,—,14,0
Manchester United,2006–07,Premier League,24,1,4,0,1,0,7,1,—,—,36,2
Manchester United,2007–08,Premier League,33,0,4,0,0,0,10,0,1,0,48,0
Manchester United,2008–09,Premier League,28,0,3,0,2,0,11,0,4,0,48,0
Manchester United,2009–10,Premier League,38,0,0,0,3,0,9,0,1,0,51,0
Manchester United,2010–11,Premier League,35,1,3,0,0,0,10,0,0,0,48,1
Manchester United,2011–12,Premier League,37,0,2,0,0,0,7,0,1,0,47,0
Manchester United,2012–13,Premier League,34,4,3,0,0,0,5,0,—,—,42,4
Manchester United,2013–14,Premier League,33,1,0,0,3,1,8,1,1,0,45,3
Manchester United,Total,Total,273,7,20,0,11,1,67,2,8,0,379,10
Juventus,2014–15,Serie A,21,1,2,0,—,—,10,0,1,0,34,1
Juventus,2015–16,Serie A,26,2,2,0,—,—,6,0,1,0,35,2
Juventus,2016–17,Serie A,6,0,0,0,—,—,6,0,1,0,13,0
Juventus,Total,Total,53,3,4,0,—,—,22,0,3,0,82,3
Marseille,2016–17,Ligue 1,11,1,1,0,0,0,—,—,—,—,12,1
Marseille,2017–18,Ligue 1,4,0,0,0,0,0,5,0,—,—,9,0
Marseille,Total,Total,15,1,1,0,0,0,5,0,0,0,21,1
West Ham United,2017–18,Premier League,5,0,—,—,—,—,—,—,—,—,5,0
Career total,Career total,Career total,533,17,36,4,19,1,123,2,11,0,734,24
