# List of international goals scored by Paul Gascoigne
No.,Date,Venue,Opponent,Score,Result,Competition
1,26 April 1989,"Wembley Stadium, London, England",Albania,5–0,5–0,1990 FIFA World Cup qualifier
2,25 April 1990,"Wembley Stadium, London, England",Czechoslovakia,4-2,4–2,Friendly
3,18 November 1992,"Wembley Stadium, London, England",Turkey,1–0,4–0,1994 FIFA World Cup qualifier
4,18 November 1992,"Wembley Stadium, London, England",Turkey,4–0,4–0,1994 FIFA World Cup qualifier
5,31 March 1993,"İzmir Atatürk Stadium, İzmir, Turkey",Turkey,2–0,2–0,1994 FIFA World Cup qualifier
6,8 September 1993,"Wembley Stadium, London, England",Poland,2–0,3–0,1994 FIFA World Cup qualifier
7,23 May 1996,"Workers' Stadium, Beijing, China",China,3–0,3–0,Friendly
8,15 June 1996,"Wembley Stadium, London, England",Scotland,2–0,2–0,UEFA Euro 1996
9,1 September 1996,"Republican Stadium, Chișinău, Moldova",Moldova,2–0,3–0,1998 FIFA World Cup qualifier
10,10 September 1997,"Wembley Stadium, London, England",Moldova,3–0,4–0,1998 FIFA World Cup qualifier
