# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Manchester United,2010–11,Premier League,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,2011–12,Premier League,3,0,0,0,3,0,1,0,0,0,7,0
Manchester United,Total,Total,3,0,0,0,3,0,1,0,0,0,7,0
Juventus,2012–13,Serie A,27,5,2,0,—,—,8,0,0,0,37,5
Juventus,2013–14,Serie A,36,7,0,0,—,—,14,1,1,1,51,9
Juventus,2014–15,Serie A,26,8,4,1,—,—,10,1,1,0,41,10
Juventus,2015–16,Serie A,35,8,5,1,—,—,8,1,1,0,49,10
Juventus,Total,Total,124,28,11,2,—,—,40,3,3,1,178,34
Manchester United,2016–17,Premier League,30,5,2,0,4,1,15,3,—,—,51,9
Manchester United,2017–18,Premier League,27,6,3,0,1,0,5,0,1,0,37,6
Manchester United,2018–19,Premier League,35,13,3,1,0,0,9,2,—,—,47,16
Manchester United,2019–20,Premier League,16,1,2,0,1,0,3,0,—,—,22,1
Manchester United,2020–21,Premier League,26,3,2,0,3,1,11,2,—,—,42,6
Manchester United,2021–22,Premier League,20,1,1,0,0,0,6,0,—,—,27,1
Manchester United,Total,Total,154,29,13,1,9,2,49,7,1,0,226,39
Juventus,2022–23,Serie A,6,0,1,0,—,—,3,0,—,—,10,0
Juventus,2023–24,Serie A,2,0,0,0,—,—,—,—,—,—,2,0
Juventus,Total,Total,8,0,1,0,—,—,3,0,—,—,12,0
Monaco,2025–26,Ligue 1,0,0,0,0,—,—,0,0,—,—,0,0
Career total,Career total,Career total,289,57,25,3,12,2,93,10,4,1,423,73
