# List of international goals scored by Paul Pogba
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,10 September 2013,"Central Stadium, Gomel, Belarus",3,Belarus,4–2,4–2,2014 FIFA World Cup qualification
2,27 May 2014,"Stade de France, Saint-Denis, France",9,Norway,1–0,4–0,Friendly
3,30 June 2014,"Estádio Nacional Mané Garrincha, Brasília, Brazil",15,Nigeria,1–0,2–0,2014 FIFA World Cup
4,7 September 2014,"Partizan Stadium, Belgrade, Serbia",18,Serbia,1–0,1–1,Friendly
5,11 October 2014,"Stade de France, Saint-Denis, France",19,Portugal,2–0,2–1,Friendly
6,3 July 2016,"Stade de France, Saint-Denis, France",36,Iceland,2–0,5–2,UEFA Euro 2016
7,10 October 2016,"Amsterdam Arena, Amsterdam, Netherlands",42,Netherlands,1–0,1–0,2018 FIFA World Cup qualification
8,11 November 2016,"Stade de France, Saint-Denis, France",43,Sweden,1–1,2–1,2018 FIFA World Cup qualification
9,27 March 2018,"Krestovsky Stadium, Saint Petersburg, Russia",51,Russia,2–0,3–1,Friendly
10,15 July 2018,"Luzhniki Stadium, Moscow, Russia",60,Croatia,3–1,4–2,2018 FIFA World Cup
11,28 June 2021,"Arena Națională, Bucharest, Romania",84,Switzerland,3–1,3–3 (a.e.t.),UEFA Euro 2020
