# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Anderlecht,1959–60,Belgian First Division,15,7,—,—,0,0,15,7
Anderlecht,1960–61,Belgian First Division,30,13,—,—,0,0,30,13
Anderlecht,1961–62,Belgian First Division,29,10,—,—,0,0,29,10
Anderlecht,1962–63,Belgian First Division,30,14,—,—,6,1,36,15
Anderlecht,1963–64,Belgian First Division,29,25,3,2,0,0,32,27
Anderlecht,1964–65,Belgian First Division,29,24,4,5,5,4,40,32
Anderlecht,1965–66,Belgian First Division,29,26,5,7,4,6,38,35
Anderlecht,1966–67,Belgian First Division,30,18,5,7,4,6,39,31
Anderlecht,1967–68,Belgian First Division,28,20,2,4,4,5,34,29
Anderlecht,1968–69,Belgian First Division,27,10,2,2,3,0,32,12
Anderlecht,1969–70,Belgian First Division,29,15,4,3,10,10,43,28
Anderlecht,1970–71,Belgian First Division,30,16,5,4,6,2,41,22
Anderlecht,1971–72,Belgian First Division,30,14,6,2,2,1,38,17
Anderlecht,1972–73,Belgian First Division,29,7,6,4,4,1,39,12
Anderlecht,1973–74,Belgian First Division,27,7,4,0,1,0,32,7
Anderlecht,1974–75,Belgian First Division,35,8,6,1,6,2,47,11
Anderlecht,Total,Total,456,234,53,41,56,33,465,308
RWD Molenbeek,1975–76,Belgian First Division,21,1,0,0,2,0,23,1
Eendracht Aalst,1976–77,Belgian Second Division,0,0,0,0,0,0,0,0
Career total,Career total,Career total,477,235,53,41,8,33,488,309
