# List of international goals scored by Paul van Himst
No.,Cap,Date,Venue,Opponent,Score,Result,Competition
1,2,30 October 1960,"Heysel Stadium, Brussels, Belgium",Hungary,1–0,2–1,Friendly
2,3,20 November 1960,"Heysel Stadium, Brussels, Belgium",Switzerland,1–1,2–4,1962 World Cup qualification
3,5,22 March 1961,"De Kuip, Rotterdam, Netherlands",Netherlands,2–1,2–6,Friendly
4,8,12 November 1961,"Olympic Stadium, Amsterdam, Netherlands",Netherlands,4–0,4–0,Friendly
5,9,24 December 1961,"Heysel Stadium, Brussels, Belgium",Bulgaria,3–0,4–0,Friendly
6,9,24 December 1961,"Heysel Stadium, Brussels, Belgium",Bulgaria,4–0,4–0,Friendly
7,11,13 May 1962,"Heysel Stadium, Brussels, Belgium",Italy,1–1,1–3,Friendly
8,13,14 October 1962,"Bosuilstadion, Antwerp, Belgium",Netherlands,2–0,2–0,Friendly
9,18,24 March 1963,"Heysel Stadium, Brussels, Belgium",Brazil,2–0,5–1,Friendly
10,21,25 December 1963,"Parc des Princes, Paris, France",France,1–0,2–1,Friendly
11,21,25 December 1963,"Parc des Princes, Paris, France",France,2–1,2–1,Friendly
12,26,21 October 1964,"Wembley, London, England",England,2–1,2–2,Friendly
13,27,2 December 1964,"Heysel Stadium, Brussels, Belgium",France,1–0,3–0,Friendly
14,32,27 October 1965,"Émile Versé Stadium, Anderlecht, Belgium",Bulgaria,1–0,5–0,1966 World Cup qualification
15,32,27 October 1965,"Émile Versé Stadium, Anderlecht, Belgium",Bulgaria,2–0,5–0,1966 World Cup qualification
16,33,10 November 1965,"National Stadium, Ramat Gan, Israel",Israel,1–0,5–0,1966 World Cup qualification
17,33,10 November 1965,"National Stadium, Ramat Gan, Israel",Israel,3–0,5–0,1966 World Cup qualification
18,33,10 November 1965,"National Stadium, Ramat Gan, Israel",Israel,5–0,5–0,1966 World Cup qualification
19,38,22 May 1966,"Sclessin, Liège, Belgium",Republic of Ireland,1–0,2–3,Friendly
20,39,25 May 1966,"Heysel Stadium, Brussels, Belgium",France,1–0,2–1,Euro 1968 qualification
21,39,25 May 1966,"Heysel Stadium, Brussels, Belgium",France,2–0,2–1,Euro 1968 qualification
22,40,19 March 1967,"Stade Municipal, Luxembourg City, Luxembourg",Luxembourg,1–0,5–0,Euro 1968 qualification
23,40,19 March 1967,"Stade Municipal, Luxembourg City, Luxembourg",Luxembourg,3–0,5–0,Euro 1968 qualification
24,50,24 April 1969,"Heysel Stadium, Brussels, Belgium",Mexico,2–0,2–0,Friendly
25,56,3 February 1971,"Sclessin, Liège, Belgium",Luxembourg,2–0,3–0,Euro 1972 qualification
26,56,3 February 1971,"Sclessin, Liège, Belgium",Luxembourg,3–0,3–0,Euro 1972 qualification
27,58,20 May 1971,"Stade Municipal, Luxembourg City, Luxembourg",Luxembourg,2–0,4–0,Friendly
28,64,13 May 1972,"Émile Versé Stadium, Anderlecht, Belgium",Italy,2–0,2–1,Euro 1972 qualification
29,65,18 May 1972,"Sclessin, Liège, Belgium",Iceland,1–0,4–0,1974 World Cup qualification
30,68,17 June 1972,"Sclessin, Liège, Belgium",Hungary,2–0,2–1,UEFA Euro 1972 Third-place play-off
