# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Instituto de Córdoba,2011–12,Primera B Nacional,38,17,0,0,—,—,2,0,40,17
Palermo,2012–13,Serie A,27,3,1,0,—,—,—,—,28,3
Palermo,2013–14,Serie B,28,5,2,0,—,—,—,—,30,5
Palermo,2014–15,Serie A,34,13,1,0,—,—,—,—,35,13
Palermo,Total,Total,89,21,4,0,—,—,—,—,93,21
Juventus,2015–16,Serie A,34,19,4,2,7,1,1,1,46,23
Juventus,2016–17,Serie A,31,11,5,4,11,4,1,0,48,19
Juventus,2017–18,Serie A,33,22,4,1,8,1,1,2,46,26
Juventus,2018–19,Serie A,30,5,2,0,9,5,1,0,42,10
Juventus,2019–20,Serie A,33,11,4,2,8,3,1,1,46,17
Juventus,2020–21,Serie A,20,4,1,0,5,1,0,0,26,5
Juventus,2021–22,Serie A,29,10,4,2,5,3,1,0,39,15
Juventus,Total,Total,210,82,24,11,53,18,6,4,293,115
Roma,2022–23,Serie A,25,12,2,1,11,5,—,—,38,18
Roma,2023–24,Serie A,28,13,2,1,9,2,—,—,39,16
Roma,2024–25,Serie A,24,6,1,0,11,2,—,—,36,8
Roma,2025–26,Serie A,3,0,0,0,0,0,—,—,3,0
Roma,Total,Total,80,31,5,2,31,9,—,—,116,42
Career total,Career total,Career total,417,152,33,13,84,27,8,4,542,195
