# List of international goals scored by Pavel Nedvěd
No.,Date,Venue,Opponent,Score,Result,Competition
1,14 June 1996,"Anfield, Liverpool, England",Italy,1–0,2–1,UEFA Euro 1996
2,18 September 1996,"Na Stínadlech, Teplice, Czech Republic",Malta,2–0,6–0,1998 FIFA World Cup qualification
3,17 December 1997,"King Fahd II Stadium, Riyadh, Saudi Arabia",United Arab Emirates,2–0,6–1,1997 FIFA Confederations Cup
4,17 December 1997,"King Fahd II Stadium, Riyadh, Saudi Arabia",United Arab Emirates,3–0,6–1,1997 FIFA Confederations Cup
5,14 October 1998,"Na Stínadlech, Teplice, Czech Republic",Estonia,1–0,4–1,UEFA Euro 2000 qualifying
6,4 September 1999,"Žalgiris Stadium, Vilnius, Lithuania",Lithuania,1–0,4–0,UEFA Euro 2000 qualifying
7,4 September 1999,"Žalgiris Stadium, Vilnius, Lithuania",Lithuania,2–0,4–0,UEFA Euro 2000 qualifying
8,26 March 2000,"Generali Arena, Prague, Czech Republic",Israel,1–0,4–1,Friendly
9,26 March 2000,"Generali Arena, Prague, Czech Republic",Israel,3–0,4–1,Friendly
10,7 October 2000,"Na Stínadlech, Teplice, Czech Republic",Iceland,3–0,4–0,2002 FIFA World Cup qualification
11,7 October 2000,"Na Stínadlech, Teplice, Czech Republic",Iceland,4–0,4–0,2002 FIFA World Cup qualification
12,24 March 2001,"Windsor Park, Belfast, Northern Ireland",Northern Ireland,1–0,1–0,2002 FIFA World Cup qualification
13,15 August 2001,"Sportovní areál, Drnovice, Czech Republic",South Korea,1–0,5–0,Friendly
14,6 October 2001,"Generali Arena, Prague, Czech Republic",Bulgaria,2–0,6–0,2002 FIFA World Cup qualification
15,6 October 2001,"Generali Arena, Prague, Czech Republic",Bulgaria,6–0,6–0,2002 FIFA World Cup qualification
16,2 April 2003,"Toyota Arena, Prague, Czech Republic",Austria,1–0,4–0,UEFA Euro 2004 qualifying
17,6 September 2003,"Dinamo Stadium, Minsk, Belarus",Belarus,1–1,3–1,UEFA Euro 2004 qualifying
18,6 June 2006,"Toyota Arena, Prague, Czech Republic",Trinidad and Tobago,2–0,3–0,Friendly
