# Table 1
Club performance Club,Club performance Season,Club performance Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Carlisle United,1979–80,Third Division,39,8,4,1,0,0,—,—,—,—,43,9
Carlisle United,1980–81,Third Division,43,10,7,5,6,0,—,—,—,—,56,15
Vancouver Whitecaps,1981,NASL,26,13,—,—,—,—,—,—,—,—,26,13
Carlisle United,1981–82,Third Division,22,4,4,1,3,0,—,—,—,—,29,5
Carlisle United,Carlisle United total,Carlisle United total,104,22,15,7,9,0,—,—,—,—,128,29
Vancouver Whitecaps,1982,NASL,22,7,—,—,—,—,—,—,—,—,22,7
Manchester United,1982–83,First Division,0,0,0,0,1,0,0,0,—,—,1,0
Vancouver Whitecaps,1983,NASL,25,8,—,—,—,—,,,,,25,8
Vancouver Whitecaps,Vancouver Whitecaps total,Vancouver Whitecaps total,73,28,—,—,—,—,—,—,—,—,73,28
Newcastle United,1983–84,Second Division,35,20,1,0,2,0,—,—,—,—,38,20
Newcastle United,1984–85,First Division,38,17,2,0,4,0,—,—,—,—,44,17
Newcastle United,1985–86,First Division,42,19,1,0,2,0,—,—,—,—,45,19
Newcastle United,1986–87,First Division,32,5,2,0,3,0,—,—,—,—,37,5
Newcastle United,Newcastle total (1st spell),Newcastle total (1st spell),147,61,6,0,11,0,—,—,—,—,164,61
Liverpool,1987–88,First Division,38,15,7,3,3,0,—,—,0,0,48,18
Liverpool,1988–89,First Division,37,10,5,2,6,2,—,—,3,0,51,14
Liverpool,1989–90,First Division,29,10,8,4,3,1,—,—,1,1,41,16
Liverpool,1990–91,First Division,27,11,5,2,2,0,—,—,1,0,35,13
Liverpool,Liverpool total,Liverpool total,131,46,25,11,14,3,—,—,5,1,175,61
Everton,1991–92,First Division,42,15,2,1,4,3,—,—,2,1,50,20
Everton,1992–93,FA Premier League,39,10,2,0,4,2,—,—,—,—,45,12
Everton,Everton total,Everton total,81,25,4,1,8,5,—,—,2,1,95,32
Newcastle United,1993–94,FA Premier League,35,21,3,2,3,1,—,—,—,—,41,24
Newcastle United,1994–95,FA Premier League,34,13,3,0,3,0,4,2,—,—,44,15
Newcastle United,1995–96,FA Premier League,35,8,2,1,3,2,—,—,—,—,40,11
Newcastle United,1996–97,FA Premier League,25,5,3,0,2,1,6,2,1,0,37,8
Newcastle United,Newcastle United total (2nd spell),Newcastle United total (2nd spell),129,47,11,3,11,4,10,4,1,0,162,58
Bolton Wanderers,1997–98,FA Premier League,17,2,1,0,3,0,—,—,—,—,21,2
Manchester City (loan),1997–98,First Division,6,0,0,0,0,0,—,—,—,—,6,0
Fulham (loan),1997–98,Second Division,10,3,0,0,0,0,—,—,—,—,10,3
Fulham (loan),1998–99,Second Division,12,3,0,0,5,1,—,—,—,—,17,4
Fulham,1998–99,Second Division,1,0,—,—,—,—,—,—,—,—,1,0
Fulham,Fulham total,Fulham total,23,6,0,0,5,1,—,—,—,—,28,7
Hartlepool United,1998–99,Third Division,22,2,0,0,—,—,—,—,2,0,24,2
Hartlepool United,1999–2000,Third Division,0,0,0,0,0,0,—,—,—,—,0,0
Hartlepool United,Hartlepool United total,Hartlepool United total,22,2,0,0,0,0,—,—,2,0,24,2
Melbourne Knights,1999–2000,NSL,2,0,—,—,—,—,—,—,—,—,2,0
Career total,Career total,Career total,735,239,62,22,62,13,10,4,10,2,879,280
