# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Liverpool,1971–72,First Division,1,0,0,0,0,0,0,0,—,—,1,0
Liverpool,1972–73,First Division,14,0,2,0,1,0,3,0,—,—,20,0
Liverpool,1973–74,First Division,35,2,9,0,4,0,3,0,—,—,51,2
Liverpool,1974–75,First Division,32,0,2,0,1,0,1,2,1,0,37,2
Liverpool,1975–76,First Division,41,0,2,0,3,0,11,2,—,—,57,2
Liverpool,1976–77,First Division,26,2,4,0,2,0,3,0,1,0,36,2
Liverpool,1977–78,First Division,27,3,1,0,7,0,7,1,1,0,43,4
Liverpool,1978–79,First Division,39,0,6,0,1,0,3,0,—,—,49,0
Liverpool,1979–80,First Division,42,0,8,0,7,1,2,0,1,0,60,1
Liverpool,1980–81,First Division,25,0,1,0,6,0,7,0,1,0,40,0
Liverpool,1981–82,First Division,34,0,1,0,7,0,5,0,1,0,48,0
Liverpool,1982–83,First Division,24,0,0,0,4,0,5,0,1,0,34,0
Liverpool,1983–84,First Division,0,0,0,0,0,0,0,0,1,0,1,0
Liverpool,Total,Total,340,7,36,0,43,1,50,5,8,0,477,13
Sheffield United,1984–85,Second Division,10,0,1,0,0,0,—,—,—,—,11,0
Sheffield United,1985–86,Second Division,27,0,2,0,4,0,—,—,1,0,34,0
Sheffield United,Total,Total,37,0,3,0,4,0,—,—,1,0,45,0
Career total,Career total,Career total,377,7,39,0,47,1,50,5,8,0,522,13
