# Appearances and goals by club, season and competition
Club,Season,League,League Apps,League Goals,DFB-Pokal Apps,DFB-Pokal Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Bayern Munich II,2001–02,Regionalliga Süd,27,2,—,—,—,—,—,—,27,2
Bayern Munich II,2002–03,Regionalliga Süd,34,1,1,0,—,—,—,—,35,1
Bayern Munich II,2005–06,Regionalliga Süd,2,0,—,—,—,—,—,—,2,0
Bayern Munich II,Total,Total,63,3,1,0,0,0,0,0,64,3
Bayern Munich,2002–03,Bundesliga,0,0,0,0,1,0,0,0,1,0
Bayern Munich,2005–06,Bundesliga,20,0,4,0,3,0,0,0,27,0
Bayern Munich,2006–07,Bundesliga,34,1,3,0,9,0,2,0,48,1
Bayern Munich,2007–08,Bundesliga,22,0,5,0,10,1,3,0,40,1
Bayern Munich,2008–09,Bundesliga,28,3,3,1,8,0,—,—,39,4
Bayern Munich,2009–10,Bundesliga,34,0,6,1,13,0,—,—,53,1
Bayern Munich,2010–11,Bundesliga,34,3,5,0,8,0,1,0,48,3
Bayern Munich,2011–12,Bundesliga,31,0,5,0,14,0,—,—,50,0
Bayern Munich,2012–13,Bundesliga,29,0,5,0,12,0,1,0,47,0
Bayern Munich,2013–14,Bundesliga,28,1,4,0,12,0,4,0,48,1
Bayern Munich,2014–15,Bundesliga,20,2,4,0,8,0,1,0,33,2
Bayern Munich,2015–16,Bundesliga,26,1,6,0,12,0,1,0,45,1
Bayern Munich,2016–17,Bundesliga,26,1,4,1,7,0,1,0,38,2
Bayern Munich,Total,Total,332,12,54,3,117,1,14,0,517,16
Stuttgart (loan),2003–04,Bundesliga,31,1,1,0,7,0,1,0,40,1
Stuttgart (loan),2004–05,Bundesliga,22,1,2,0,6,1,1,0,31,1
Stuttgart (loan),Total,Total,53,2,3,0,13,1,2,0,71,3
Career total,Career total,Career total,448,17,58,3,130,2,16,0,652,22
