# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Vasco da Gama (loan),2009,Série B,12,0,0,0,—,—,—,—,0,0,12,0
Vasco da Gama (loan),2010,Série A,7,1,7,1,—,—,—,—,17,3,31,5
Vasco da Gama (loan),Total,Total,19,1,7,1,—,—,—,—,17,3,43,5
Inter Milan,2010–11,Serie A,13,1,0,0,—,—,6,0,1,0,20,1
Inter Milan,2011–12,Serie A,5,1,0,0,—,—,3,0,0,0,8,1
Inter Milan,2012–13,Serie A,10,1,0,0,—,—,9,2,—,—,19,3
Inter Milan,Total,Total,28,3,0,0,—,—,18,2,1,0,47,5
Espanyol (loan),2011–12,La Liga,16,5,—,—,—,—,—,—,—,—,16,5
Liverpool,2012–13,Premier League,13,3,—,—,—,—,—,—,—,—,13,3
Liverpool,2013–14,Premier League,33,5,3,0,1,0,—,—,—,—,37,5
Liverpool,2014–15,Premier League,35,5,7,3,4,0,6,0,—,—,52,8
Liverpool,2015–16,Premier League,26,8,1,1,3,1,13,2,—,—,43,12
Liverpool,2016–17,Premier League,31,13,2,0,3,1,—,—,—,—,36,14
Liverpool,2017–18,Premier League,14,7,0,0,1,0,5,5,—,—,20,12
Liverpool,Total,Total,152,41,13,4,12,2,24,7,—,—,201,54
Barcelona,2017–18,La Liga,18,8,4,2,—,—,—,—,—,—,22,10
Barcelona,2018–19,La Liga,34,5,7,3,—,—,12,3,1,0,54,11
Barcelona,2020–21,La Liga,12,2,0,0,—,—,2,1,0,0,14,3
Barcelona,2021–22,La Liga,12,2,0,0,—,—,4,0,0,0,16,2
Barcelona,Total,Total,76,17,11,5,—,—,18,4,1,0,106,26
Bayern Munich (loan),2019–20,Bundesliga,23,8,4,0,—,—,11,3,—,—,38,11
Aston Villa (loan),2021–22,Premier League,19,5,—,—,—,—,—,—,—,—,19,5
Aston Villa,2022–23,Premier League,20,1,1,0,1,0,—,—,—,—,22,1
Aston Villa,2023–24,Premier League,2,0,—,—,—,—,0,0,—,—,2,0
Aston Villa,Total,Total,41,6,1,0,1,0,0,0,—,—,43,6
Al-Duhail (loan),2023–24,Qatar Stars League,16,3,3,2,1,1,3,2,—,—,23,8
Vasco da Gama (loan),2024,Série A,15,2,3,1,—,—,—,—,—,—,18,3
Vasco da Gama,2025,Série A,19,5,8,3,—,—,6,1,8,2,41,11
Vasco da Gama,Total,Total,34,7,11,4,—,—,6,1,8,2,59,14
Career total,Career total,Career total,405,91,50,16,14,3,80,19,27,5,576,134
