# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
1. FC Köln,1978–79,Bundesliga,24,1,2.0,0.0,–,–,5,0.0,–,–,31,1
1. FC Köln,1979–80,Bundesliga,32,9,8.0,4.0,–,–,0,0.0,–,–,40,13
1. FC Köln,1980–81,Bundesliga,5,0,0.0,0.0,–,–,,,–,–,5,0
1. FC Köln,Total,Total,61,10,10.0,4.0,0,0,5,0.0,0,0,76,14
Barcelona,1980–81,La Liga,23,11,5.0,0.0,–,–,0,0.0,–,–,28,11
Barcelona,1981–82,La Liga,13,8,0.0,0.0,–,–,4,2.0,–,–,17,10
Barcelona,1982–83,La Liga,28,7,6.0,1.0,6,1,5,5.0,2,0,47,14
Barcelona,1983–84,La Liga,22,7,2.0,1.0,1,1,4,1.0,–,–,29,10
Barcelona,1984–85,La Liga,32,11,7.0,7.0,1,0,2,1.0,–,–,42,19
Barcelona,1985–86,La Liga,22,10,3.0,1.0,0,0,6,1.0,1,0,32,12
Barcelona,1986–87,La Liga,0,0,0.0,0.0,–,–,0,0.0,–,–,0,0
Barcelona,1987–88,La Liga,30,9,8.0,3.0,–,–,8,1.0,–,–,46,13
Barcelona,Total,Total,170,63,31.0,13.0,8,2,29,11.0,3,0,241,89
Real Madrid,1988–89,La Liga,33,7,9.0,3.0,–,–,8,0.0,2,0,52,10
Real Madrid,1989–90,La Liga,28,6,6.0,0.0,–,–,2,0.0,–,–,36,6
Real Madrid,Total,Total,61,13,15.0,3.0,0,0,10,0.0,2,0,88,16
Atlético Madrid,1990–91,La Liga,29,4,7.0,1.0,–,–,0,0.0,–,–,36,5
Atlético Madrid,1991–92,La Liga,34,6,6.0,2.0,–,–,6,4.0,–,–,46,12
Atlético Madrid,1992–93,La Liga,22,1,2.0,0.0,–,–,6,0.0,–,–,30,1
Atlético Madrid,Total,Total,85,11,15.0,3.0,0,0,12,4.0,0,0,112,18
Bayer Leverkusen,1993–94,Bundesliga,28,5,4.0,0.0,–,–,1,1.0,1,0,34,6
Bayer Leverkusen,1994–95,Bundesliga,23,2,2.0,1.0,–,–,9,2.0,–,–,34,5
Bayer Leverkusen,1995–96,Bundesliga,8,1,3.0,0.0,–,–,4,0.0,–,–,15,1
Bayer Leverkusen,Total,Total,59,8,9.0,1.0,0,0,14,3.0,1,0,83,12
Universidad Nacional,1996–97,Primera División,9,0,,,,,,,,,9,0
Career total,Career total,Career total,445,105,80.0,24.0,8,2,70,18.0,6,0,609,149
