# Table 3
Team,From,To,Record .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}G,Record W,Record D,Record L,Record GF,Record GA,Record GD,Record Win %,Record Ref.
Fortuna Köln,1 July 1997,30 June 1998,35,11,13,11,55,59,−4,31.43,
1. FC Köln,1 July 1998,30 June 1999,35,12,9,14,46,54,−8,34.29,
Xerez,26 June 2001,30 June 2003,89,38,22,29,102,101,+1,42.7,
Shakhtar Donetsk,1 July 2003,5 May 2004,43,30,6,7,82,28,+54,69.77,
Levante,1 July 2004,1 May 2005,36,9,9,18,37,52,−15,25.0,
Getafe,20 June 2005,9 July 2007,89,35,21,33,119,101,+18,39.33,
Real Madrid,9 July 2007,9 December 2008,75,44,9,22,157,100,+57,58.67,
Beşiktaş,10 June 2010,15 March 2011,45,24,8,13,80,50,+30,53.33,
Málaga,12 June 2013,16 May 2014,40,12,11,17,43,50,−7,30.0,
Dalian Yifang,19 March 2018,10 February 2019,29,13,5,11,41,40,+1,44.83,
Total,Total,Total,516,228,113,175,762,636,+126,44.19,—
