# Table 1
Club,Season,League Division,League Apps,League Goals,Coupe de France Apps,Coupe de France Goals,Europe Apps,Europe Goals,Total Apps,Total Goals
Bordeaux,1970–71,Division 1,24,3,5,0,-,-,29,3
Bordeaux,1971–72,Division 1,27,4,0,0,-,-,27,4
Bordeaux,1972–73,Division 1,22,3,0,0,-,-,22,3
Bordeaux,1973–74,Division 1,31,12,0,0,-,-,31,12
Bordeaux,1974–75,Division 1,36,11,4,1,-,-,40,12
Bordeaux,1975–76,Division 1,30,13,1,0,-,-,31,13
Bordeaux,1976–77,Division 1,37,16,4,0,-,-,41,16
Bordeaux,1977–78,Division 1,35,11,5,4,-,-,40,15
Bordeaux,1978–79,Division 1,38,6,3,1,-,-,41,7
Bordeaux,1979–80,Division 1,37,12,1,0,-,-,38,12
Bordeaux,1980–81,Division 1,34,6,6,2,-,-,40,8
Bordeaux,1981–82,Division 1,34,14,7,4,3,0,44,18
Bordeaux,1982–83,Division 1,35,12,5,1,6,6,46,19
Bordeaux,1983–84,Division 1,34,16,5,1,2,1,41,18
Bordeaux,1984–85,Division 1,36,11,1,0,8,0,45,11
Bordeaux,1985–86,Division 1,29,9,5,1,2,0,36,10
Bordeaux,Total,Total,519,158,52,15,21,7,592,180
Marseille,1986–87,Division 1,34,4,8,2,-,-,42,6
Marseille,1987–88,Division 1,33,1,1,0,7,1,41,2
Marseille,Total,Total,67,5,9,2,7,1,83,8
Career total,Career total,Career total,586,163,61,17,28,8,675,188
