# List of international goals scored by Pierre van Hooijdonk
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,5 October 1996,"Cardiff Arms Park, Cardiff, Wales",Wales,1–1,3–1,1998 FIFA World Cup qualification,
2,5 October 1996,"Cardiff Arms Park, Cardiff, Wales",Wales,2–1,3–1,1998 FIFA World Cup qualification,
3,29 March 1997,"Amsterdam ArenA, Amsterdam, Netherlands",San Marino,3–0,4–0,1998 FIFA World Cup qualification,
4,30 April 1997,"San Marino Stadium, Serravalle , San Marino",San Marino,3–0,6–0,1998 FIFA World Cup qualification,
5,5 June 1998,"Amsterdam ArenA, Amsterdam, Netherlands",Nigeria,5–1,5–1,Friendly,
6,20 June 1998,"Stade Vélodrome, Marseille, France",South Korea,4–0,5–0,1998 FIFA World Cup,
7,8 June 1999,"Estádio Serra Dourada, Goiânia, Brazil",Brazil,1–3,1–3,Friendly,
8,24 March 2001,"Mini Estadi, Barcelona, Spain",Andorra,3–0,5–0,2002 FIFA World Cup qualification,
9,24 March 2001,"Mini Estadi, Barcelona, Spain",Andorra,4–0,5–0,2002 FIFA World Cup qualification,
10,6 October 2001,"GelreDome, Arnhem, Netherlands",Andorra,1–0,4–0,2002 FIFA World Cup qualification,
11,11 October 2003,"Philips Stadion, Eindhoven, Netherlands",Moldova,3–0,5–0,UEFA Euro 2004 qualifying,
12,28 April 2004,"Philips Stadion, Eindhoven, Netherlands",Greece,4–0,4–0,Friendly,
13,8 September 2004,"Amsterdam ArenA, Amsterdam, Netherlands",Czech Republic,1–0,2–0,2006 FIFA World Cup qualification,
14,8 September 2004,"Amsterdam ArenA, Amsterdam, Netherlands",Czech Republic,2–0,2–0,2006 FIFA World Cup qualification,
