# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
AC Milan,2007–08,Serie A,0,0,0,0,—,—,0,0,0,0,0,0
Dijon (loan),2008–09,Ligue 2,34,8,4,2,1,0,—,—,—,—,39,10
Lille (loan),2009–10,Ligue 1,14,2,0,0,1,0,9,0,—,—,24,2
Monaco (loan),2010–11,Ligue 1,19,2,1,0,3,0,—,—,—,—,23,2
Saint-Étienne,2010–11,Ligue 1,14,2,—,—,—,—,—,—,—,—,14,2
Saint-Étienne,2011–12,Ligue 1,36,16,0,0,2,2,—,—,—,—,38,18
Saint-Étienne,2012–13,Ligue 1,37,19,4,2,4,0,—,—,—,—,45,21
Saint-Étienne,Total,Total,87,37,4,2,6,2,—,—,—,—,97,41
Saint-Étienne II,2010–11,CFA,2,0,—,—,—,—,—,—,—,—,2,0
Borussia Dortmund,2013–14,Bundesliga,32,13,6,2,—,—,9,1,1,0,48,16
Borussia Dortmund,2014–15,Bundesliga,33,16,4,5,—,—,8,3,1,1,46,25
Borussia Dortmund,2015–16,Bundesliga,31,25,4,3,—,—,14,11,—,—,49,39
Borussia Dortmund,2016–17,Bundesliga,32,31,4,2,—,—,9,7,1,0,46,40
Borussia Dortmund,2017–18,Bundesliga,16,13,1,3,—,—,6,4,1,1,24,21
Borussia Dortmund,Total,Total,144,98,19,15,—,—,46,26,4,2,213,141
Arsenal,2017–18,Premier League,13,10,—,—,1,0,—,—,—,—,14,10
Arsenal,2018–19,Premier League,36,22,1,1,2,0,12,8,—,—,51,31
Arsenal,2019–20,Premier League,36,22,2,4,0,0,6,3,—,—,44,29
Arsenal,2020–21,Premier League,29,10,1,1,0,0,8,3,1,1,39,15
Arsenal,2021–22,Premier League,14,4,0,0,1,3,—,—,—,—,15,7
Arsenal,Total,Total,128,68,4,6,4,3,26,14,1,1,163,92
Barcelona,2021–22,La Liga,17,11,—,—,—,—,6,2,—,—,23,13
Barcelona,2022–23,La Liga,1,0,—,—,—,—,—,—,—,—,1,0
Barcelona,Total,Total,18,11,—,—,—,—,6,2,—,—,24,13
Chelsea,2022–23,Premier League,15,1,0,0,0,0,6,2,—,—,21,3
Marseille,2023–24,Ligue 1,34,17,2,1,—,—,15,12,—,—,51,30
Al-Qadsiah,2024–25,Saudi Pro League,32,17,4,4,—,—,—,—,—,—,36,21
Marseille,2025–26,Ligue 1,5,3,0,0,—,—,1,0,0,0,6,3
Career total,Career total,Career total,533,264,38,30,15,5,109,56,5,3,700,358
