# 
#,Date,Venue,Opponent,Score,Result,Competition
1.0,13 July 1966,"Villa Park, Birmingham, England",Argentina,1–1,1–2,1966 FIFA World Cup
2.0,7 December 1966,"Mestalla, Valencia, Spain",Republic of Ireland,2–0,2–0,Euro 1968 qualifying
3.0,22 October 1967,"Santiago Bernabéu, Madrid, Spain",Czechoslovakia,1–0,2–1,Euro 1968 qualifying
4.0,17 October 1968,"Gerland, Lyon, France",France,1–1,1–3,Friendly
5.0,15 October 1969,"José Antonio, La Línea, Spain",Finland,1–0,6–0,1970 World Cup qualification
6.0,11 November 1970,"Sánchez Pizjuán, Seville, Spain",Northern Ireland,2–0,3–0,Euro 1972 qualifying
7.0,20 February 1971,"Sant'Elia, Cagliari, Italy",Italy,1–0,2–1,Friendly
8.0,17 March 1971,"Luis Casanova, Valencia, Spain",France,1–2,2–2,Friendly
9.0,17 March 1971,"Luis Casanova, Valencia, Spain",France,2–2,2–2,Friendly
10.0,9 May 1971,"GSP, Nicosia, Cyprus",Cyprus,1–0,2–0,Euro 1972 qualifying
11.0,24 November 1971,"Los Cármenes, Granada, Spain",Cyprus,1–0,7–0,Euro 1972 qualifying
12.0,24 November 1971,"Los Cármenes, Granada, Spain",Cyprus,4–0,7–0,Euro 1972 qualifying
13.0,12 October 1974,"Monumental, Buenos Aires, Argentina",Argentina,1–0,1–1,Friendly
14.0,12 October 1975,"Sarrià, Barcelona, Spain",Denmark,1–0,2–0,Euro 1976 qualifying
15.0,10 October 1976,"Sánchez Pizjuán, Seville, Spain",Yugoslavia,1–0,1–0,1978 World Cup qualification
16.0,25 January 1978,"Santiago Bernabéu, Madrid, Spain",Italy,1–0,2–1,Friendly
