# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Lanceros Boyacá,1999,Categoría Primera B,1,0,—,—,—,—,0,0,—,—,1,0
Lanceros Boyacá,2000,Categoría Primera B,10,2,—,—,—,—,0,0,0,0,10,2
Lanceros Boyacá,Total,Total,11,2,—,—,—,—,0,0,0,0,11,2
River Plate,2004–05,Argentine Primera División,4,0,—,—,—,—,0,0,—,—,4,0
River Plate,2005–06,Argentine Primera División,7,7,—,—,—,—,0,0,—,—,7,7
River Plate,2006–07,Argentine Primera División,20,3,—,—,—,—,3,0,—,—,23,3
River Plate,2007–08,Argentine Primera División,27,11,—,—,—,—,12,8,—,—,39,19
River Plate,2008–09,Argentine Primera División,32,13,—,—,—,—,6,3,—,—,38,16
River Plate,Total,Total,90,34,—,—,—,—,21,11,—,—,111,45
Porto,2009–10,Primeira Liga,28,25,5,5,2,0,8,4,0,0,43,34
Porto,2010–11,Primeira Liga,22,16,3,3,0,0,16,18,1,1,42,38
Porto,2011–12,Primeira Liga,1,0,—,—,—,—,—,—,1,0,2,0
Porto,Total,Total,51,41,8,8,2,0,24,22,2,1,87,72
Atlético Madrid,2011–12,La Liga,34,24,1,0,—,—,15,12,—,—,50,36
Atlético Madrid,2012–13,La Liga,34,28,4,2,—,—,2,1,1,3,41,34
Atlético Madrid,Total,Total,68,52,5,2,—,—,17,13,1,3,91,70
Monaco,2013–14,Ligue 1,17,9,2,2,0,0,—,—,—,—,19,11
Monaco,2014–15,Ligue 1,3,2,0,0,0,0,—,—,—,—,3,2
Monaco,2016–17,Ligue 1,29,21,2,1,2,1,10,7,—,—,43,30
Monaco,2017–18,Ligue 1,26,18,1,0,3,3,5,3,1,0,36,24
Monaco,2018–19,Ligue 1,33,15,1,1,0,0,5,0,—,—,39,16
Monaco,Total,Total,108,65,6,4,5,4,20,10,1,0,140,83
Manchester United (loan),2014–15,Premier League,26,4,3,0,0,0,—,—,—,—,29,4
Chelsea (loan),2015–16,Premier League,10,1,0,0,1,0,0,0,1,0,12,1
Galatasaray,2019–20,Süper Lig,16,10,3,1,—,—,3,0,—,—,22,11
Galatasaray,2020–21,Süper Lig,17,9,0,0,—,—,1,0,—,—,18,9
Galatasaray,2021–22,Süper Lig,1,0,0,0,—,—,2,0,—,—,3,0
Galatasaray,Total,Total,34,24,3,1,0,0,6,0,—,—,84,25
Rayo Vallecano,2021–22,La Liga,22,6,3,0,—,—,—,—,—,—,25,6
Rayo Vallecano,2022–23,La Liga,27,2,2,0,—,—,—,—,—,—,29,2
Rayo Vallecano,2023–24,La Liga,22,1,4,3,—,—,—,—,—,—,26,4
Rayo Vallecano,Total,Total,71,9,9,3,—,—,—,—,—,—,80,12
Millonarios,2024,Categoría Primera A,16,5,0,0,—,—,—,—,—,—,16,5
Millonarios,2025,Categoría Primera A,12,6,0,0,—,—,1,0,—,—,13,6
Millonarios,Total,Total,28,11,0,0,—,—,1,0,—,—,29,11
Career total,Career total,Career total,497,243,34,18,8,4,89,56,5,4,633,320
