# Table 3
Goal,Date,Venue,Opponent,Score,Result,Competition
1.0,5 February 1999,"Hong Kong Stadium, Wan Chai, Hong Kong",Egypt,1–0,3–0,1999 Carlsberg Cup
2.0,13 February 2000,"Qualcomm Stadium, San Diego, United States",Trinidad and Tobago,1–0,4–0,2000 CONCACAF Gold Cup
3.0,3 September 2000,"Estadio Azteca, Mexico City, Mexico",Panama,5–1,7–1,2002 FIFA World Cup qualifier
4.0,12 May 2002,"Estadio Azteca, Mexico City, Mexico",Colombia,2–1,2–1,Friendly
5.0,24 July 2003,"Estadio Azteca, Mexico City, Mexico",Costa Rica,1–0,2–0,2003 CONCACAF Gold Cup
6.0,19 June 2004,"Alamodome, San Antonio, United States",Dominica,3–0,10–0,2006 FIFA World Cup qualifier
7.0,7 September 2005,"Estadio Azteca, Mexico City, Mexico",Panama,2–0,5–0,2006 FIFA World Cup qualifier
8.0,24 June 2006,"Zentralstadion, Leipzig, Germany",Argentina,1–0,1–2 (a.e.t.),2006 FIFA World Cup
9.0,28 March 2007,"McAfee Coliseum, Oakland, United States",Ecuador,2–2,4–2,Friendly
10.0,10 September 2008,"Estadio Víctor Manuel Reyna, Tuxtla Gutiérrez, Mexico",Canada,2–0,2–1,2010 FIFA World Cup qualifier
11.0,11 June 2010,"Soccer City, Johannesburg, South Africa",South Africa,1–1,1–1,2010 FIFA World Cup
12.0,12 June 2011,"Soldier Field, Chicago, United States",Costa Rica,1–0,4–1,2011 CONCACAF Gold Cup
13.0,13 November 2013,"Estadio Azteca, Mexico City, Mexico",New Zealand,5–0,5–1,2014 FIFA World Cup qualifier
14.0,2 April 2014,"University of Phoenix Stadium, Glendale, United States",United States,1–2,2–2,Friendly
15.0,23 June 2014,"Arena Pernambuco, São Lourenço da Mata, Brazil",Croatia,1–0,3–1,2014 FIFA World Cup
16.0,5 June 2016,"University of Phoenix Stadium, Glendale, United States",Uruguay,2–1,3–1,Copa América Centenario
17.0,11 November 2016,"Mapfre Stadium, Columbus, United States",United States,2–1,2–1,2018 FIFA World Cup qualifier
