# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Ajax,1999–2000,Eredivisie,1,0,0,0,—,—,0,0,—,—,1,0
Ajax,2000–01,Eredivisie,27,7,1,0,—,—,4,2,—,—,32,9
Ajax,2001–02,Eredivisie,20,14,2,2,—,—,5,1,—,—,27,17
Ajax,2002–03,Eredivisie,21,18,2,0,—,—,6,2,1,2,30,22
Ajax,2003–04,Eredivisie,26,7,1,0,—,—,7,1,—,—,34,8
Ajax,2004–05,Eredivisie,22,6,2,0,—,—,7,1,1,0,32,7
Ajax,Total,Total,117,52,8,2,—,—,29,7,2,2,156,63
Hamburger SV,2005–06,Bundesliga,19,9,2,0,—,—,8,5,7,2,36,16
Hamburger SV,2006–07,Bundesliga,26,8,0,0,2,0,5,3,—,—,33,11
Hamburger SV,2007–08,Bundesliga,29,12,4,4,—,—,9,3,2,2,44,21
Hamburger SV,Total,Total,74,29,6,4,2,0,22,11,9,4,113,48
Real Madrid,2008–09,La Liga,32,5,1,0,—,—,7,0,2,0,42,5
Real Madrid,2009–10,La Liga,26,6,2,1,—,—,3,0,—,—,31,7
Real Madrid,Total,Total,58,11,3,1,—,—,10,0,2,0,73,12
Tottenham Hotspur,2010–11,Premier League,28,13,1,0,0,0,7,2,—,—,36,15
Tottenham Hotspur,2011–12,Premier League,33,11,4,1,1,0,1,1,—,—,39,13
Tottenham Hotspur,2012–13,Premier League,2,0,0,0,0,0,0,0,—,—,2,0
Tottenham Hotspur,Total,Total,63,24,5,1,1,0,8,3,—,—,77,28
Hamburger SV,2012–13,Bundesliga,27,5,0,0,—,—,—,—,—,—,27,5
Hamburger SV,2013–14,Bundesliga,27,7,3,1,—,—,—,—,2,0,32,8
Hamburger SV,2014–15,Bundesliga,24,4,2,1,—,—,—,—,1,0,27,5
Hamburger SV,Total,Total,78,16,5,2,—,—,—,—,3,0,86,18
Real Betis,2015–16,La Liga,7,0,2,0,—,—,—,—,—,—,9,0
Midtjylland,2016–17,Danish Superliga,15,2,2,0,—,—,1,0,—,—,18,2
Midtjylland,2017–18,Danish Superliga,2,0,0,0,—,—,0,0,—,—,2,0
Midtjylland,Total,Total,17,2,2,0,—,—,1,0,—,—,20,2
Esbjerg,2018–19,Danish Superliga,3,0,1,0,—,—,—,—,—,—,4,0
Career total,Career total,Career total,417,135,32,10,3,0,70,21,16,6,538,171
