# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Liverpool,2011–12,Premier League,3,0,0,0,0,0,—,—,—,—,3,0
Liverpool,2012–13,Premier League,24,2,1,0,1,0,10,0,—,—,36,2
Liverpool,2013–14,Premier League,33,9,3,0,2,1,—,—,—,—,38,10
Liverpool,2014–15,Premier League,35,7,5,1,4,3,8,0,—,—,52,11
Liverpool,Total,Total,95,18,9,1,7,4,18,0,—,—,129,23
Manchester City,2015–16,Premier League,31,6,2,1,4,1,10,3,—,—,47,11
Manchester City,2016–17,Premier League,33,7,5,1,1,0,8,2,—,—,47,10
Manchester City,2017–18,Premier League,33,18,2,1,3,0,8,4,—,—,46,23
Manchester City,2018–19,Premier League,34,17,4,3,3,0,10,5,0,0,51,25
Manchester City,2019–20,Premier League,33,20,4,1,5,3,9,6,1,1,52,31
Manchester City,2020–21,Premier League,31,10,3,1,4,2,11,1,—,—,49,14
Manchester City,2021–22,Premier League,30,13,3,1,2,0,12,3,0,0,47,17
Manchester City,Total,Total,225,91,23,9,22,6,68,24,1,1,339,131
Chelsea,2022–23,Premier League,28,6,0,0,1,0,9,3,—,—,38,9
Chelsea,2023–24,Premier League,31,8,6,1,6,1,—,—,—,—,43,10
Chelsea,2024–25,Premier League,0,0,0,0,0,0,0,0,0,0,0,0
Chelsea,2025–26,Premier League,0,0,0,0,0,0,0,0,—,—,0,0
Chelsea,Total,Total,59,14,6,1,7,1,9,3,—,—,81,19
Arsenal (loan),2024–25,Premier League,17,0,1,0,4,1,6,0,—,—,28,1
Career total,Career total,Career total,396,123,39,11,40,12,101,27,1,1,577,174
