# List of international goals scored by Raheem Sterling
No.,Date,Venue,Cap,Opponent,Score,Result,Competition,Ref.
1,27 March 2015,"Wembley Stadium, London, England",14,Lithuania,3–0,4–0,UEFA Euro 2016 qualifying,
2,9 October 2015,"Wembley Stadium, London, England",18,Estonia,2–0,2–0,UEFA Euro 2016 qualifying,
3,15 October 2018,"Estadio Benito Villamarín, Seville, Spain",46,Spain,1–0,3–2,2018–19 UEFA Nations League A,
4,15 October 2018,"Estadio Benito Villamarín, Seville, Spain",46,Spain,3–0,3–2,2018–19 UEFA Nations League A,
5,22 March 2019,"Wembley Stadium, London, England",48,Czech Republic,1–0,5–0,UEFA Euro 2020 qualifying,
6,22 March 2019,"Wembley Stadium, London, England",48,Czech Republic,3–0,5–0,UEFA Euro 2020 qualifying,
7,22 March 2019,"Wembley Stadium, London, England",48,Czech Republic,4–0,5–0,UEFA Euro 2020 qualifying,
8,25 March 2019,"Podgorica City Stadium, Podgorica, Montenegro",49,Montenegro,5–1,5–1,UEFA Euro 2020 qualifying,
9,7 September 2019,"Wembley Stadium, London, England",52,Bulgaria,3–0,4–0,UEFA Euro 2020 qualifying,
10,10 September 2019,"St Mary's Stadium, Southampton, England",53,Kosovo,1–1,5–3,UEFA Euro 2020 qualifying,
11,14 October 2019,"Vasil Levski National Stadium, Sofia, Bulgaria",55,Bulgaria,4–0,6–0,UEFA Euro 2020 qualifying,
12,14 October 2019,"Vasil Levski National Stadium, Sofia, Bulgaria",55,Bulgaria,5–0,6–0,UEFA Euro 2020 qualifying,
13,5 September 2020,"Laugardalsvöllur, Reykjavík, Iceland",57,Iceland,1–0,1–0,2020–21 UEFA Nations League A,
14,25 March 2021,"Wembley Stadium, London, England",59,San Marino,3–0,5–0,2022 FIFA World Cup qualification,
15,13 June 2021,"Wembley Stadium, London, England",62,Croatia,1–0,1–0,UEFA Euro 2020,
16,22 June 2021,"Wembley Stadium, London, England",64,Czech Republic,1–0,1–0,UEFA Euro 2020,
17,29 June 2021,"Wembley Stadium, London, England",65,Germany,1–0,2–0,UEFA Euro 2020,
18,2 September 2021,"Puskás Aréna, Budapest, Hungary",69,Hungary,1–0,4–0,2022 FIFA World Cup qualification,
19,29 March 2022,"Wembley Stadium, London, England",74,Ivory Coast,2–0,3–0,Friendly,
20,21 November 2022,"Khalifa International Stadium, Doha, Qatar",80,Iran,3–0,6–2,2022 FIFA World Cup,
