# List of international goals scored by Raymond Kopa
No.,Date,Venue,Opponent,Score,Result,Competition
1,11 November 1952,"Stade Olympique Yves-du-Manoir, Paris, France",Northern Ireland,,3–1,Friendly
2,11 November 1952,"Stade Olympique Yves-du-Manoir, Paris, France",Northern Ireland,,3–1,Friendly
3,14 May 1953,"Stade Olympique Yves-du-Manoir, Paris, France",Wales,,6–1,Friendly
4,14 May 1953,"Stade Olympique Yves-du-Manoir, Paris, France",Wales,,6–1,Friendly
5,20 September 1953,"Stade Municipal, Luxembourg City, Luxembourg",Luxembourg,,6–1,1954 FIFA World Cup qualification
6,30 May 1954,"Stade Heysel, Brussels, Belgium",Belgium,,3–3,Friendly
7,19 June 1954,"Charmilles Stadium, Geneva, Switzerland",Mexico,,3–2,1954 FIFA World Cup
8,11 November 1954,"Stade Olympique Yves-du-Manoir, Paris, France",Belgium,,2–2,Friendly
9,11 November 1954,"Stade Olympique Yves-du-Manoir, Paris, France",Belgium,,2–2,Friendly
10,17 March 1955,"Estadio Chamartín, Madrid, Spain",Spain,,21,Friendly
11,15 May 1955,"Stade Olympique Yves-du-Manoir, Paris, France",England,,1–0,Friendly
12,9 October 1955,"St. Jakob Stadium, Basel, Switzerland",Switzerland,,2–1,Friendly
13,23 October 1955,"Dinamo Stadium, Moscow, Soviet Union",Soviet Union,,2–2,Friendly
14,8 June 1958,"Idrottsparken, Norrköping, Sweden",Paraguay,,7–3,1958 FIFA World Cup
15,15 June 1958,"Eyravallen, Örebro, Sweden",Scotland,,2–1,1958 FIFA World Cup
16,26 June 1958,"Ullevi, Gothenburg, Sweden",West Germany,,6–3,1958 FIFA World Cup
17,1 October 1958,"Parc des Princes, Paris, France",Greece,,7–1,UEFA Euro 1960
18,27 March 1960,"Praterstadion, Vienna, Austria",Austria,,4–2,UEFA Euro 1960
