# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
West Ham United,1995–96,Premier League,1,0,0,0,0,0,—,—,—,—,1,0
West Ham United,1996–97,Premier League,15,2,1,0,1,0,—,—,—,—,17,2
West Ham United,1997–98,Premier League,35,0,6,0,5,0,—,—,—,—,46,0
West Ham United,1998–99,Premier League,31,0,1,0,1,0,—,—,—,—,33,0
West Ham United,1999–2000,Premier League,33,0,1,0,4,0,3,0,6,0,46,0
West Ham United,2000–01,Premier League,12,0,—,—,2,0,—,—,—,—,14,0
West Ham United,Total,Total,127,2,9,0,13,0,3,0,6,0,158,2
AFC Bournemouth (loan),1996–97,Second Division,10,0,—,—,—,—,—,—,1,0,11,0
Leeds United,2000–01,Premier League,23,2,2,0,—,—,7,1,—,—,32,3
Leeds United,2001–02,Premier League,31,0,1,0,2,0,7,0,—,—,41,0
Leeds United,Total,Total,54,2,3,0,2,0,14,1,0,0,73,3
Manchester United,2002–03,Premier League,28,0,3,0,4,0,11,0,—,—,46,0
Manchester United,2003–04,Premier League,20,0,0,0,0,0,6,0,1,0,27,0
Manchester United,2004–05,Premier League,31,0,5,0,1,0,5,0,0,0,42,0
Manchester United,2005–06,Premier League,37,3,2,0,5,0,8,0,—,—,52,3
Manchester United,2006–07,Premier League,33,1,7,0,0,0,9,0,—,—,49,1
Manchester United,2007–08,Premier League,35,2,4,0,0,0,11,1,1,0,51,3
Manchester United,2008–09,Premier League,24,0,3,0,1,0,11,0,4,0,43,0
Manchester United,2009–10,Premier League,13,0,0,0,1,0,6,0,1,0,21,0
Manchester United,2010–11,Premier League,19,0,2,0,1,0,7,0,0,0,29,0
Manchester United,2011–12,Premier League,30,0,1,0,0,0,6,0,1,0,38,0
Manchester United,2012–13,Premier League,28,1,2,0,0,0,4,0,—,—,34,1
Manchester United,2013–14,Premier League,14,0,1,0,1,0,7,0,0,0,23,0
Manchester United,Total,Total,312,7,30,0,14,0,91,1,8,0,455,8
Queens Park Rangers,2014–15,Premier League,11,0,1,0,0,0,—,—,—,—,12,0
Career total,Career total,Career total,514,11,43,0,29,0,108,2,15,0,709,13
