# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,State league Apps,State league Goals,Other Apps,Other Goals,Total Apps,Total Goals
Santa Cruz,1991,Série B,—,—,—,—,—,—,18,8,—,—,18,8
Santa Cruz,1992,Série B,9,1,—,—,—,—,—,—,—,—,9,1
Santa Cruz,Total,Total,9,1,—,—,—,—,18,8,—,—,27,9
Mogi Mirim,1992,—,—,—,—,—,—,—,27,9,4,4,31,13
Corinthians,1993,Série A,8,2,—,—,—,—,14,9,—,—,22,11
Corinthians,1994,Série A,—,—,1,0,—,—,—,—,1,1,2,1
Corinthians,Total,Total,8,2,1,0,—,—,14,9,1,1,24,12
Palmeiras,1994,Série A,29,14,—,—,—,—,—,—,—,—,29,14
Palmeiras,1995,Série A,1,0,—,—,9,5,24,19,—,—,34,24
Palmeiras,1996,Série A,—,—,2,0,—,—,32,22,—,—,34,22
Palmeiras,Total,Total,30,14,2,0,9,5,56,41,—,—,97,60
Deportivo La Coruña,1996–97,La Liga,41,21,5,1,—,—,—,—,—,—,46,22
Barcelona,1997–98,La Liga,34,19,7,8,6,0,—,—,4,1,51,28
Barcelona,1998–99,La Liga,37,24,3,2,6,3,—,—,2,0,48,29
Barcelona,1999–00,La Liga,31,12,5,1,14,10,—,—,—,—,50,23
Barcelona,2000–01,La Liga,35,23,5,2,13,11,—,—,—,—,53,36
Barcelona,2001–02,La Liga,20,8,—,—,13,6,—,—,—,—,33,14
Barcelona,Total,Total,157,86,20,13,52,30,—,—,6,1,235,130
Milan,2002–03,Serie A,22,5,3,1,13,2,—,—,—,—,38,8
Milan,2003–04,Serie A,—,—,—,—,1,0,—,—,1,0,2,0
Milan,Total,Total,22,5,3,1,14,2,—,—,1,0,40,8
Cruzeiro,2004,Série A,—,—,—,—,3,0,7,2,—,—,10,2
Olympiacos,2004–05,Alpha Ethniki,23,12,2,2,9,1,—,—,—,—,34,15
Olympiacos,2005–06,Alpha Ethniki,22,7,2,2,6,2,—,—,—,—,30,11
Olympiacos,2006–07,Super League Greece,25,17,—,—,6,0,—,—,—,—,31,17
Olympiacos,Total,Total,70,36,4,4,21,3,—,—,—,—,95,43
AEK Athens,2007–08,Super League Greece,35,12,—,—,8,3,—,—,—,—,43,15
AEK Athens,2008–09,Super League Greece,—,—,—,—,1,0,—,—,—,—,1,0
AEK Athens,Total,Total,35,12,—,—,9,3,—,—,—,—,44,15
Bunyodkor,2008,Uzbek League,12,7,1,0,4,2,—,—,—,—,17,9
Bunyodkor,2009,Uzbek League,30,20,1,1,9,1,—,—,—,—,40,22
Bunyodkor,2010,Uzbek League,11,6,3,3,5,2,—,—,—,—,19,11
Bunyodkor,Total,Total,53,33,5,4,18,5,—,—,—,—,76,42
São Paulo,2011,Série A,30,5,4,0,3,1,9,1,—,—,46,7
Kabuscorp,2012,Girabola,21,11,—,—,—,—,—,—,—,—,21,11
São Caetano,2013,Série B,7,0,2,0,—,—,10,2,—,—,19,2
Mogi Mirim,2014,Série C,4,0,—,—,—,—,4,0,—,—,8,0
Mogi Mirim,2015,Série B,4,1,—,—,—,—,—,—,—,—,4,1
Mogi Mirim,Total,Total,8,1,—,—,—,—,4,0,—,—,12,1
Career total,Career total,Career total,481,227,46,23,129,49,145,72,12,6,813,377
