# List of international goals scored by Rivaldo
No.,Date,Venue,Opponent,Score,Result,Competition
1,16 December 1993,"Estadio Jalisco, Guadalajara, Mexico",Mexico,1–0,1–0,Friendly
2,18 May 1995,"Ramat Gan Stadium, Ramat Gan, Israel",Israel,2–0,2–1,Friendly
3,27 March 1996,"Teixeirão, São José do Rio Preto, Brazil",Ghana,6–1,8–2,Friendly
5,11 November 1997,"Brasília, Brazil",Wales,2–0,3–0,Friendly
7,16 June 1998,"Stade de la Beaujoire, Nantes, France",Morocco,2–0,3–0,1998 FIFA World Cup
8,3 July 1998,"Stade de la Beaujoire, Nantes, France",Denmark,2–1,3–2,1998 FIFA World Cup
9,3 July 1998,"Stade de la Beaujoire, Nantes, France",Denmark,3–2,3–2,1998 FIFA World Cup
10,18 November 1998,"Castelão (Ceará), Fortaleza, Brazil",Russia,3–0,5–1,Friendly
11,30 June 1999,"Estadio Antonio Oddone Sarubbi, Ciudad del Este, Paraguay",Venezuela,7–0,7–0,1999 Copa América
12,11 July 1999,"Estadio Antonio Oddone Sarubbi, Ciudad del Este, Paraguay",Argentina,2–1,2–1,1999 Copa América
13,14 July 1999,"Estadio Antonio Oddone Sarubbi, Ciudad del Este, Paraguay",Mexico,2–0,2–0,1999 Copa América
14,18 July 1999,"Estadio Defensores del Chaco, Asunción, Paraguay",Uruguay,1–0,3–0,1999 Copa América
15,18 July 1999,"Estadio Defensores del Chaco, Asunción, Paraguay",Uruguay,2–0,3–0,1999 Copa América
16,7 September 1999,"Estádio Beira-Rio, Porto Alegre, Brazil",Argentina,1–0,4–2,Friendly
17,7 September 1999,"Estádio Beira-Rio, Porto Alegre, Brazil",Argentina,2–0,4–2,Friendly
18,7 September 1999,"Estádio Beira-Rio, Porto Alegre, Brazil",Argentina,3–1,4–2,Friendly
19,23 February 2000,"Rajamangala Stadium, Bangkok, Thailand",Thailand,1–0,7–0,2000 King's Cup
20,23 February 2000,"Rajamangala Stadium, Bangkok, Thailand",Thailand,2–0,7–0,2000 King's Cup
21,26 April 2000,"Estádio do Morumbi, São Paulo, Brazil",Ecuador,1–1,3–2,2002 FIFA World Cup qualification
22,26 April 2000,"Estádio do Morumbi, São Paulo, Brazil",Ecuador,3–1,3–2,2002 FIFA World Cup qualification
23,23 May 2000,"Millennium Stadium, Cardiff, Wales",Wales,3–0,3–0,Friendly
24,28 June 2000,"Estádio do Maracanã, Rio de Janeiro, Brazil",Uruguay,1–1,1–1,2002 FIFA World Cup qualification
25,18 July 2000,"Estadio Defensores del Chaco, Asunción, Paraguay",Paraguay,1–1,1–2,2002 FIFA World Cup qualification
26,3 September 2000,"Estádio do Maracanã, Rio de Janeiro, Brazil",Bolivia,2–0,5–0,2002 FIFA World Cup qualification
27,15 August 2001,"Estádio Olímpico Monumental, Porto Alegre, Brazil",Paraguay,2–0,2–0,2002 FIFA World Cup qualification
28,7 October 2001,"Estádio Couto Pereira, Curitiba, Brazil",Chile,2–0,2–0,2002 FIFA World Cup qualification
29,14 November 2001,"Castelão (Maranhão), São Luís, Brazil",Venezuela,3–0,3–0,2002 FIFA World Cup qualification
30,3 June 2002,"Munsu Cup Stadium, Ulsan, South Korea",Turkey,2–1,2–1,2002 FIFA World Cup
31,8 June 2002,"Jeju World Cup Stadium, Jeju, South Korea",China,2–0,4–0,2002 FIFA World Cup
32,13 June 2002,"Suwon World Cup Stadium, Suwon, South Korea",Costa Rica,4–2,5–2,2002 FIFA World Cup
33,17 June 2002,"Kobe Wing Stadium, Kobe, Japan",Belgium,1–0,2–0,2002 FIFA World Cup
34,21 June 2002,"Shizuoka Stadium, Fukuroi, Japan",England,1–1,2–1,2002 FIFA World Cup
35,16 November 2003,"Estadio Monumental ""U"", Lima, Peru",Peru,1–0,1–1,2006 FIFA World Cup qualification
