# List of international goals scored by Rivellino
No.,Date,Venue,Opponent,Score,Result,Competition,Ref.
1,20 June 1968,"10th-Anniversary Stadium, Warsaw, Poland",Poland,2–2,6–3,Friendly,
2,20 June 1968,"10th-Anniversary Stadium, Warsaw, Poland",Poland,6–3,6–3,Friendly,
3,30 June 1968,"Estádio da Machava, Matola, Mozambique",Portugal,–,2–0,Friendly,
4,10 July 1968,"Estadio Azteca, Mexico City, Mexico",Mexico,1–1,1–2,Friendly,
5,17 July 1968,"Estadio Nacional del Perú, Lima, Peru",Peru,1–0,4–0,Friendly,
6,6 November 1968,"Maracanã Stadium, Rio de Janeiro, Brazil",FIFA World XI,1–0,2–1,Friendly,
7,21 August 1969,"Maracanã Stadium, Rio de Janeiro, Brazil",Colombia,5–1,6–2,1970 FIFA World Cup qualification,
8,26 March 1970,"Maracanã Stadium, Rio de Janeiro, Brazil",Chile,–,2–1,Friendly,
9,29 April 1970,"Maracanã Stadium, Rio de Janeiro, Brazil",Austria,1–0,1–0,Friendly,
10,3 June 1970,"Estadio Jalisco, Guadalajara, Mexico",Czechoslovakia,1–1,4–1,1970 FIFA World Cup,
11,14 June 1970,"Estadio Jalisco, Guadalajara, Mexico",Peru,1–0,4–2,1970 FIFA World Cup,
12,17 June 1970,"Estadio Jalisco, Guadalajara, Mexico",Uruguay,3–1,3–1,1970 FIFA World Cup,
13,18 July 1971,"Maracanã Stadium, Rio de Janeiro, Brazil",Yugoslavia,1–1,2–2,Friendly,
14,27 May 1973,"Maracanã Stadium, Rio de Janeiro, Brazil",Bolivia,–,5–0,Friendly,
15,27 May 1973,"Maracanã Stadium, Rio de Janeiro, Brazil",Bolivia,–,5–0,Friendly,
16,3 June 1973,"Stade du 5 Juillet, Algiers, Algeria",Algeria,–,2–0,Friendly,
17,21 April 1974,"Estádio Governador Hélio Prates da Silveira, Brasília, Brazil",Haiti,–,4–0,Friendly,
18,5 May 1974,"Maracanã Stadium, Rio de Janeiro, Brazil",Republic of Ireland,2–0,2–1,Friendly,
19,12 May 1974,"Maracanã Stadium, Rio de Janeiro, Brazil",Paraguay,–,2–0,Friendly,
20,22 June 1974,"Parkstadion, Gelsenkirchen, Germany",Zaire,2–0,3–0,1974 FIFA World Cup,
21,22 June 1974,"Niedersachsenstadion, Hanover, Germany",East Germany,1–0,1–0,1974 FIFA World Cup,
22,30 June 1974,"Niedersachsenstadion, Hanover, Germany",Argentina,1–0,2–1,1974 FIFA World Cup,
23,28 April 1976,"Maracanã Stadium, Rio de Janeiro, Brazil",Uruguay,–,2–1,1976 Taça do Atlântico,
24,9 March 1977,"Maracanã Stadium, Rio de Janeiro, Brazil",Colombia,6–0,6–0,1978 FIFA World Cup qualification,
25,12 June 1977,"Maracanã Stadium, Rio de Janeiro, Brazil",West Germany,–,1–1,Friendly,
26,19 June 1977,"Estádio do Morumbi, São Paulo, Brazil",Poland,–,3–1,Friendly,
