# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Quimper,2009–10,CFA,27,1,0,0,—,—,—,—,—,—,27,1
Le Havre II,2010–11,CFA,32,13,0,0,0,0,—,—,—,—,32,13
Le Havre II,2011–12,CFA,25,11,0,0,0,0,—,—,—,—,25,11
Le Havre II,2012–13,CFA,3,0,0,0,0,0,—,—,—,—,3,0
Le Havre II,Total,Total,60,24,0,0,0,0,—,—,—,—,60,24
Le Havre,2011–12,Ligue 2,9,0,0,0,0,0,—,—,—,—,9,0
Le Havre,2012–13,Ligue 2,34,4,4,1,1,0,—,—,—,—,39,5
Le Havre,2013–14,Ligue 2,17,2,0,0,2,3,—,—,—,—,19,5
Le Havre,Total,Total,60,6,4,1,3,3,—,—,—,—,67,10
Leicester City,2013–14,Championship,19,3,0,0,0,0,—,—,—,—,19,3
Leicester City,2014–15,Premier League,30,4,1,0,1,0,—,—,—,—,32,4
Leicester City,2015–16,Premier League,37,17,0,0,2,1,—,—,—,—,39,18
Leicester City,2016–17,Premier League,36,6,2,0,0,0,9,4,1,0,48,10
Leicester City,2017–18,Premier League,36,12,3,0,2,1,—,—,—,—,41,13
Leicester City,Total,Total,158,42,6,0,5,2,9,4,1,0,179,48
Manchester City,2018–19,Premier League,27,7,5,2,5,2,6,1,1,0,44,12
Manchester City,2019–20,Premier League,33,11,5,0,5,1,7,1,0,0,50,13
Manchester City,2020–21,Premier League,27,9,4,0,5,1,12,4,—,—,48,14
Manchester City,2021–22,Premier League,28,11,4,4,2,2,12,7,1,0,47,24
Manchester City,2022–23,Premier League,30,5,5,5,2,2,9,3,1,0,47,15
Manchester City,Total,Total,145,43,23,11,19,8,46,16,3,0,236,78
Al-Ahli,2023–24,Saudi Pro League,32,11,1,1,—,—,—,—,—,—,33,12
Al-Ahli,2024–25,Saudi Pro League,31,8,0,0,—,—,13,9,1,0,45,17
Al-Ahli,2025–26,Saudi Pro League,4,0,1,0,—,—,1,1,3,0,9,1
Al-Ahli,Total,Total,67,19,2,1,—,—,14,10,4,0,87,30
Career total,Career total,Career total,517,135,35,13,27,13,69,30,8,0,656,191
