# List of international goals scored by Riyad Mahrez
No.,Date,Venue,Opponent,Score,Result,Competition
1,15 October 2014,"Mustapha Tchaker Stadium, Blida, Algeria",Malawi,2–0,3–0,2015 Africa Cup of Nations qualification
2,15 November 2014,"Mustapha Tchaker Stadium, Blida, Algeria",Ethiopia,2–1,3–1,2015 Africa Cup of Nations qualification
3,27 January 2015,"Estadio de Malabo, Malabo, Equatorial Guinea",Senegal,1–0,2–0,2015 Africa Cup of Nations
4,17 November 2015,"Mustapha Tchaker Stadium, Blida, Algeria",Tanzania,3–0,7–0,2018 FIFA World Cup qualification
5,4 September 2016,"Mustapha Tchaker Stadium, Blida, Algeria",Lesotho,2–0,6–0,2017 Africa Cup of Nations qualification
6,4 September 2016,"Mustapha Tchaker Stadium, Blida, Algeria",Lesotho,6–0,6–0,2017 Africa Cup of Nations qualification
7,15 January 2017,"Stade de Franceville, Franceville, Gabon",Zimbabwe,1–0,2–2,2017 Africa Cup of Nations
8,15 January 2017,"Stade de Franceville, Franceville, Gabon",Zimbabwe,2–2,2–2,2017 Africa Cup of Nations
9,18 November 2018,"Stade Municipal, Lomé, Togo",Togo,1–0,4–1,2019 Africa Cup of Nations qualification
10,18 November 2018,"Stade Municipal, Lomé, Togo",Togo,3–0,4–1,2019 Africa Cup of Nations qualification
11,23 June 2019,"30 June Stadium, Cairo, Egypt",Kenya,2–0,2–0,2019 Africa Cup of Nations
12,7 July 2019,"30 June Stadium, Cairo, Egypt",Guinea,2–0,3–0,2019 Africa Cup of Nations
13,14 July 2019,"Cairo International Stadium, Cairo, Egypt",Nigeria,2–1,2–1,2019 Africa Cup of Nations
14,15 October 2019,"Stade Pierre-Mauroy, Lille, France",Colombia,2–0,3–0,Friendly
15,15 October 2019,"Stade Pierre-Mauroy, Lille, France",Colombia,3–0,3–0,Friendly
16,13 October 2020,"Cars Jeans Stadion, The Hague, Netherlands",Mexico,2–2,2–2,Friendly
17,12 November 2020,"Stade du 5 Juillet, Algiers, Algeria",Zimbabwe,3–0,3–1,2021 Africa Cup of Nations qualification
18,16 November 2020,"National Sports Stadium, Harare, Zimbabwe",Zimbabwe,2–0,2–2,2021 Africa Cup of Nations qualification
19,29 March 2021,"Mustapha Tchaker Stadium, Blida, Algeria",Botswana,3–0,5–0,2021 Africa Cup of Nations qualification
20,6 June 2021,"Mustapha Tchaker Stadium, Blida, Algeria",Mali,1–0,1–0,Friendly
21,11 June 2021,"Stade Olympique de Radès, Radès, Tunisia",Tunisia,2–0,2–0,Friendly
22,2 September 2021,"Mustapha Tchaker Stadium, Blida, Algeria",Djibouti,7–0,8–0,2022 FIFA World Cup qualification
23,8 October 2021,"Mustapha Tchaker Stadium, Blida, Algeria",Niger,1–0,6–1,2022 FIFA World Cup qualification
24,8 October 2021,"Mustapha Tchaker Stadium, Blida, Algeria",Niger,3–1,6–1,2022 FIFA World Cup qualification
25,12 October 2021,"Stade Général Seyni Kountché, Niamey, Niger",Niger,1–0,4–0,2022 FIFA World Cup qualification
26,16 November 2021,"Mustapha Tchaker Stadium, Blida, Algeria",Burkina Faso,1–0,2–2,2022 FIFA World Cup qualification
27,27 September 2022,"Olympic Stadium, Oran, Algeria",Nigeria,1–1,2–1,Friendly
28,16 November 2022,"Olympic Stadium, Oran, Algeria",Mali,1–0,1–1,Friendly
29,23 March 2023,"Nelson Mandela Stadium, Algiers, Algeria",Niger,2–1,2–1,2023 Africa Cup of Nations qualification
30,20 June 2023,"19 May 1956 Stadium, Annaba, Algeria",Tunisia,1–1,1–1,Friendly
31,9 January 2024,"Stade de Kégué, Lomé, Togo",Burundi,2–0,4–0,Friendly
32,17 November 2024,"Hocine Aït Ahmed Stadium, Tizi Ouzou, Algeria",Liberia,2–1,5–1,2025 Africa Cup of Nations qualification
