# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
DWS,1965–66,Eredivisie,23,5,3,0,–,–,–,–,–,–,26,5
DWS,1966–67,Eredivisie,29,4,2,0,–,–,2,0,–,–,33,4
DWS,1967–68,Eredivisie,34,10,3,0,–,–,2,1,–,–,39,11
DWS,1968–69,Eredivisie,34,15,4,3,–,–,5,1,–,–,43,19
DWS,Total,Total,120,34,12,3,0,0,9,2,0,0,141,39
Club Brugge,1969–70,Belgian First Division,27,10,,,–,–,4,3,–,–,31,13
Club Brugge,1970–71,Belgian First Division,28,14,,,–,–,6,2,–,–,34,16
Club Brugge,Total,Total,55,24,,,0,0,10,5,0,0,65,29
Anderlecht,1971–72,Belgian First Division,30,16,,,–,–,2,0,–,–,32,16
Anderlecht,1972–73,Belgian First Division,24,16,,,–,–,4,4,–,–,28,20
Anderlecht,1973–74,Belgian First Division,29,20,,,–,–,2,3,–,–,31,23
Anderlecht,1974–75,Belgian First Division,35,19,,,–,–,6,3,–,–,41,22
Anderlecht,1975–76,Belgian First Division,35,23,,,–,–,9,8,–,–,44,31
Anderlecht,1976–77,Belgian First Division,34,16,,,–,–,9,7,4,2,43,23
Anderlecht,1977–78,Belgian First Division,24,18,,,–,–,7,5,–,–,31,23
Anderlecht,1978–79,Belgian First Division,31,12,,,–,–,2,0,2,1,33,12
Anderlecht,1979–80,Belgian First Division,20,3,,,–,–,1,0,–,–,21,3
Anderlecht,Total,Total,262,143,,,0,0,42,30,4,3,308,176
Portland Timbers,1980,NASL,18,6,–,–,–,–,–,–,–,–,18,6
Toulouse,1981–82,Division 2,12,1,,,–,–,–,–,–,–,12,1
Career total,Career total,Career total,467,208,12,3,0,0,61,37,4,3,544,251
