# Club statistics
Club,Season,League Division,League Apps,League Goals,FA Cup Apps,FA Cup Goals,League Cup Apps,League Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Liverpool,1993–94,Premier League,28,12,1,0,5,6,0,0,34,18
Liverpool,1994–95,Premier League,42,25,7,2,8,4,—,—,57,31
Liverpool,1995–96,Premier League,38,28,7,6,4,2,4,0,53,36
Liverpool,1996–97,Premier League,32,18,1,1,4,5,7,7,44,31
Liverpool,1997–98,Premier League,20,9,1,0,4,3,3,1,28,13
Liverpool,1998–99,Premier League,25,14,2,1,2,1,6,2,35,18
Liverpool,1999–2000,Premier League,14,3,0,0,0,0,—,—,14,3
Liverpool,2000–01,Premier League,27,8,5,2,5,6,11,1,48,17
Liverpool,2001–02,Premier League,10,3,0,0,0,0,7,1,17,4
Liverpool,Total,Total,236,120,24,12,32,27,38,12,330,171
Leeds United,2001–02,Premier League,22,12,1,0,0,0,—,—,23,12
Leeds United,2002–03,Premier League,8,2,1,0,0,0,1,0,10,2
Leeds United,Total,Total,30,14,2,0,0,0,1,0,33,14
Manchester City,2002–03,Premier League,13,2,0,0,0,0,—,—,13,2
Manchester City,2003–04,Premier League,31,7,4,1,2,1,4,1,41,10
Manchester City,2004–05,Premier League,32,11,0,0,1,1,—,—,33,12
Manchester City,2005–06,Premier League,4,1,1,3,0,0,—,—,5,4
Manchester City,Total,Total,80,21,5,4,3,2,4,1,92,28
Liverpool,2005–06,Premier League,14,5,0,0,0,0,2,0,16,5
Liverpool,2006–07,Premier League,16,3,0,0,3,2,4,2,23,7
Liverpool,Total,Total,30,8,0,0,3,2,6,2,39,12
Cardiff City,2007–08,Championship,13,4,0,0,3,2,—,—,16,6
Blackburn Rovers,2008–09,Premier League,3,0,0,0,3,0,—,—,6,0
North Queensland Fury,2009–10,A-League,26,9,0,0,—,—,—,—,26,9
Perth Glory,2010–11,A-League,28,9,0,0,—,—,—,—,28,9
Muangthong United,2011,Thai Premier League,13,8,4,2,1,0,2,0,20,10
Career total,Career total,Career total,459,193,35,18,45,33,51,15,590,259
