# Appearances and goals by national team and year
National team,Year,Apps,Goals
Republic of Ireland,1998,5,2
Republic of Ireland,1999,8,3
Republic of Ireland,2000,9,2
Republic of Ireland,2001,7,1
Republic of Ireland,2002,11,6
Republic of Ireland,2003,7,4
Republic of Ireland,2004,10,6
Republic of Ireland,2005,7,1
Republic of Ireland,2006,6,4
Republic of Ireland,2007,8,3
Republic of Ireland,2008,7,3
Republic of Ireland,2009,11,6
Republic of Ireland,2010,8,4
Republic of Ireland,2011,10,8
Republic of Ireland,2012,8,1
Republic of Ireland,2013,9,8
Republic of Ireland,2014,7,3
Republic of Ireland,2015,5,2
Republic of Ireland,2016,3,1
Total,Total,146,68
