# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Delta Warsaw,2004–05,IV liga,17,4,2,0,—,—,—,—,19,4
Legia Warsaw II,2005–06,III liga,13,2,1,2,—,—,—,—,14,4
Znicz II Pruszków,2006–07,Klasa A,4,8,0,0,—,—,—,—,4,8
Znicz Pruszków,2006–07,III liga,27,15,5,2,—,—,—,—,32,17
Znicz Pruszków,2007–08,II liga,32,21,2,0,—,—,—,—,34,21
Znicz Pruszków,Total,Total,59,36,7,2,—,—,—,—,66,38
Lech Poznań,2008–09,Ekstraklasa,30,14,6,2,12,4,—,—,48,20
Lech Poznań,2009–10,Ekstraklasa,28,18,1,0,4,2,1,1,34,21
Lech Poznań,Total,Total,58,32,7,2,16,6,1,1,82,41
Borussia Dortmund,2010–11,Bundesliga,33,8,2,0,8,1,—,—,43,9
Borussia Dortmund,2011–12,Bundesliga,34,22,6,7,6,1,1,0,47,30
Borussia Dortmund,2012–13,Bundesliga,31,24,4,1,13,10,1,1,49,36
Borussia Dortmund,2013–14,Bundesliga,33,20,5,2,9,6,1,0,48,28
Borussia Dortmund,Total,Total,131,74,17,10,36,18,3,1,187,103
Bayern Munich,2014–15,Bundesliga,31,17,5,2,12,6,1,0,49,25
Bayern Munich,2015–16,Bundesliga,32,30,6,3,12,9,1,0,51,42
Bayern Munich,2016–17,Bundesliga,33,30,4,5,9,8,1,0,47,43
Bayern Munich,2017–18,Bundesliga,30,29,6,6,11,5,1,1,48,41
Bayern Munich,2018–19,Bundesliga,33,22,5,7,8,8,1,3,47,40
Bayern Munich,2019–20,Bundesliga,31,34,5,6,10,15,1,0,47,55
Bayern Munich,2020–21,Bundesliga,29,41,1,0,6,5,4,2,40,48
Bayern Munich,2021–22,Bundesliga,34,35,1,0,10,13,1,2,46,50
Bayern Munich,Total,Total,253,238,33,29,78,69,11,8,375,344
Barcelona,2022–23,La Liga,34,23,3,2,7,6,2,2,46,33
Barcelona,2023–24,La Liga,35,19,3,2,9,3,2,2,49,26
Barcelona,2024–25,La Liga,34,27,3,3,13,11,2,1,52,42
Barcelona,2025–26,La Liga,5,3,0,0,1,0,0,0,6,3
Barcelona,Total,Total,108,72,9,7,30,20,6,5,153,104
Career total,Career total,Career total,643,466,76,52,160,113,21,15,900,646
