# List of international goals scored by Robert Pires
No.,Date,Venue,Opponent,Score,Result,Competition
1,9 October 1996,"Parc des Princes, Paris, France",Turkey,4–0,4–0,Friendly
2,26 February 1997,"Parc des Princes, Paris, France",Netherlands,1–1,2–1,Friendly
3,10 October 1998,"Luzhniki Stadium, Moscow, Russia",Russia,2–0,3–2,UEFA Euro 2000 qualifying
4,13 November 1999,"Stade de France, Saint-Denis, France",Croatia,1–0,3–0,Friendly
5,28 May 2000,"Maksimir Stadium, Zagreb, Croatia",Croatia,1–0,2–0,Friendly
6,16 August 2000,"Stade Vélodrome, Marseille, France",FIFA XI,4–0,5–1,Friendly
7,3 June 2001,"Ulsan Munsu Football Stadium, Ulsan, South Korea",Mexico,3–0,4–0,2001 FIFA Confederations Cup
8,7 June 2001,"Suwon World Cup Stadium, Suwon, South Korea",Brazil,1–0,2–1,2001 FIFA Confederations Cup
9,15 August 2001,"Stade de la Beaujoire, Nantes, France",Denmark,1–0,1–0,Friendly
10,6 October 2001,"Stade de France, Saint-Denis, France",Algeria,4–1,4–1,Friendly
11,30 April 2003,"Stade de France, Saint-Denis, France",Egypt,3–0,5–0,Friendly
12,20 June 2003,"Stade Geoffroy-Guichard, Saint-Étienne, France",Japan,1–0,2–1,2003 FIFA Confederations Cup
13,22 June 2003,"Stade de France, Saint-Denis, France",New Zealand,5–0,5–0,2003 FIFA Confederations Cup
14,26 June 2003,"Stade de France, Saint-Denis, France",Turkey,2–0,3–2,2003 FIFA Confederations Cup
