# List of international goals scored by Roberto Baggio
No.,Date,Venue,Opponent,Score,Result,Competition
1,22 April 1989,"Stadio Marc'Antonio Bentegodi, Verona, Italy",Uruguay,1–0,1–1,Friendly
2,20 September 1989,"Stadio Dino Manuzzi, Cesena, Italy",Bulgaria,1–0,4–0,Friendly
3,20 September 1989,"Stadio Dino Manuzzi, Cesena, Italy",Bulgaria,2–0,4–0,Friendly
4,19 June 1990,"Stadio Olimpico, Rome, Italy",Czechoslovakia,2–0,2–0,1990 FIFA World Cup
5,7 July 1990,"Stadio San Nicola, Bari, Italy",England,1–0,2–1,1990 FIFA World Cup
6,26 September 1990,"Stadio La Favorita, Palermo, Italy",Netherlands,1–0,1–0,Friendly
7,17 October 1990,"Népstadion, Budapest, Hungary",Hungary,1–1,1–1,UEFA Euro 1992 qualifying
8,21 December 1991,"Stadio Pino Zaccheria, Foggia, Italy",Cyprus,2–0,2–0,UEFA Euro 1992 qualifying
9,19 February 1992,"Stadio Dino Manuzzi, Cesena, Italy",San Marino,1–0,4–0,Friendly
10,19 February 1992,"Stadio Dino Manuzzi, Cesena, Italy",San Marino,2–0,4–0,Friendly
11,25 March 1992,"Stadio delle Alpi, Turin, Italy",Germany,1–0,1–0,Friendly
12,6 June 1992,"Soldier Field, Chicago, United States",United States,1–0,1–1,1992 U.S. Cup
13,9 September 1992,"Philips Stadion, Eindhoven, Netherlands",Netherlands,2–2,3–2,Friendly
14,14 October 1992,"Stadio Sant'Elia, Cagliari, Italy",Switzerland,1–2,2–2,1994 FIFA World Cup qualification
15,20 January 1993,"Stadio Artemio Franchi, Florence, Italy",Mexico,1–0,2–0,Friendly
16,24 February 1993,"Estádio das Antas, Porto, Portugal",Portugal,1–0,3–1,1994 FIFA World Cup qualification
17,14 April 1993,"Stadio Nereo Rocco, Trieste, Italy",Estonia,1–0,3–1,1994 FIFA World Cup qualification
18,22 September 1993,"Kadriorg Stadium, Tallinn, Estonia",Estonia,1–0,3–0,1994 FIFA World Cup qualification
19,22 September 1993,"Kadriorg Stadium, Tallinn, Estonia",Estonia,3–0,3–0,1994 FIFA World Cup qualification
20,5 July 1994,"Foxboro Stadium, Foxborough, United States",Nigeria,1–1,2–1,1994 FIFA World Cup
21,5 July 1994,"Foxboro Stadium, Foxborough, United States",Nigeria,2–1,2–1,1994 FIFA World Cup
22,9 July 1994,"Foxboro Stadium, Foxborough, United States",Spain,2–1,2–1,1994 FIFA World Cup
23,13 July 1994,"Giants Stadium, East Rutherford, United States",Bulgaria,1–0,2–1,1994 FIFA World Cup
24,13 July 1994,"Giants Stadium, East Rutherford, United States",Bulgaria,2–0,2–1,1994 FIFA World Cup
25,30 April 1997,"Stadio San Paolo, Naples, Italy",Poland,3–0,3–0,1998 FIFA World Cup qualification
26,11 June 1998,"Stade du Parc Lescure, Bordeaux, France",Chile,2–2,2–2,1998 FIFA World Cup
27,23 June 1998,"Stade de France, Saint-Denis, France",Austria,2–0,2–1,1998 FIFA World Cup
