# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Figueirense,2009,Série B,2,0,0,0,—,—,—,—,,,2,0
Figueirense,2010,Série B,36,8,0,0,—,—,—,—,,,36,8
Figueirense,Total,Total,38,8,0,0,—,—,—,—,,,38,8
TSG Hoffenheim,2010–11,Bundesliga,11,3,—,—,—,—,—,—,—,—,11,3
TSG Hoffenheim,2011–12,Bundesliga,30,7,3,0,—,—,—,—,—,—,33,7
TSG Hoffenheim,2012–13,Bundesliga,33,5,1,0,—,—,—,—,2,2,36,7
TSG Hoffenheim,2013–14,Bundesliga,33,16,4,6,—,—,—,—,—,—,37,22
TSG Hoffenheim,2014–15,Bundesliga,33,7,3,3,—,—,—,—,—,—,36,10
TSG Hoffenheim,Total,Total,140,38,11,9,—,—,—,—,2,2,153,49
Liverpool,2015–16,Premier League,31,10,0,0,5,0,13,1,—,—,49,11
Liverpool,2016–17,Premier League,35,11,2,0,4,1,—,—,—,—,41,12
Liverpool,2017–18,Premier League,37,15,2,1,0,0,15,11,—,—,54,27
Liverpool,2018–19,Premier League,34,12,1,0,1,0,12,4,—,—,48,16
Liverpool,2019–20,Premier League,38,9,2,0,0,0,8,1,4,2,52,12
Liverpool,2020–21,Premier League,36,9,2,0,0,0,9,0,1,0,48,9
Liverpool,2021–22,Premier League,20,5,5,1,3,0,7,5,—,—,35,11
Liverpool,2022–23,Premier League,25,11,0,0,1,0,8,2,1,0,35,13
Liverpool,Total,Total,256,82,14,2,14,1,72,24,6,2,362,111
Al-Ahli,2023–24,Saudi Pro League,32,9,2,0,—,—,—,—,—,—,34,9
Al-Ahli,2024–25,Saudi Pro League,17,5,1,0,—,—,12,6,1,1,31,12
Al-Ahli,Total,Total,49,14,3,0,—,—,12,6,1,1,65,21
Career total,Career total,Career total,483,142,28,11,14,1,84,30,9,5,618,189
