# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Continental Apps,Continental Goals,Total Apps,Total Goals
Bologna,1981–82,Serie A,30,9,1,0,—,—,31,9
Sampdoria,1982–83,Serie A,22,4,5,1,—,—,27,5
Sampdoria,1983–84,Serie A,30,8,8,2,—,—,38,10
Sampdoria,1984–85,Serie A,24,3,11,3,—,—,35,6
Sampdoria,1985–86,Serie A,23,6,11,4,4,2,38,12
Sampdoria,1986–87,Serie A,26,6,5,0,—,—,31,6
Sampdoria,1987–88,Serie A,30,5,13,3,—,—,43,8
Sampdoria,1988–89,Serie A,29,9,11,5,8,0,48,14
Sampdoria,1989–90,Serie A,31,11,4,2,9,2,44,15
Sampdoria,1990–91,Serie A,30,12,10,2,7,2,47,16
Sampdoria,1991–92,Serie A,29,6,7,3,9,4,45,13
Sampdoria,1992–93,Serie A,30,15,2,0,—,—,32,15
Sampdoria,1993–94,Serie A,30,12,7,0,—,—,37,12
Sampdoria,1994–95,Serie A,31,9,3,1,4,2,38,12
Sampdoria,1995–96,Serie A,26,11,2,1,—,—,28,12
Sampdoria,1996–97,Serie A,33,15,2,0,—,—,35,15
Sampdoria,Total,Total,424,132,101,27,19,12,566,168
Lazio,1997–98,Serie A,34,5,8,1,10,3,52,9
Lazio,1998–99,Serie A,33,10,7,2,7,0,47,12
Lazio,1999–2000,Serie A,20,0,7,3,10,0,37,3
Lazio,Total,Total,87,15,22,6,27,3,136,24
Leicester City (loan),2000–01,Premier League,4,0,1,0,—,—,5,0
Career total,Career total,Career total,545,156,125,33,46,15,738,201
