# Table 1
Club,Season,League Division,League Apps,League Goals,Cup Apps,Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals,Unnamed: 13_level_0 Unnamed: 13_level_1
Udinese,1989–90,Serie A,33,2,1,0,—,—,—,—,34,2,
Udinese,1990–91,Serie B,36,4,—,—,—,—,—,—,36,4,
Udinese,1991–92,Serie B,36,2,4,0,—,—,—,—,40,2,
Udinese,1992–93,Serie A,33,1,2,0,—,—,1,0,36,1,
Udinese,1993–94,Serie A,11,0,3,0,—,—,—,—,14,0,
Udinese,Total,Total,149,9,10,0,—,—,1,0,159,9,
Parma,1993–94,Serie A,20,0,6,0,5,1,2,1,33,2,
Parma,1994–95,Serie A,24,2,8,1,10,0,—,—,42,3,
Parma,1995–96,Serie A,31,2,1,0,6,0,1,0,39,2,
Parma,1996–97,Serie A,31,1,,,2,0,—,—,33,1,
Parma,1997–98,Serie A,24,5,3,0,6,3,—,—,33,8,
Parma,1998–99,Serie A,26,1,8,0,10,0,—,—,44,1,
Parma,Total,Total,Serie A,156,11,26,1,39,4,3,1,224,17.0
Lazio,1999–2000,Serie A,23,1,2,0,7,0,—,—,32,1,
Lazio,2000–01,Serie A,1,0,2,1,3,0,1,0,7,1,
Lazio,Total,Total,24,1,4,1,10,0,1,0,39,2,
Parma,2000–01,Serie A,19,0,4,0,—,—,—,—,23,0,
Parma,2001–02,Serie A,16,0,3,0,6,1,—,—,25,1,
Parma,Total,Total,35,0,7,0,6,1,0,0,48,1,
Udinese,2002–03,Serie A,31,3,1,0,—,—,—,—,32,3,
Udinese,2003–04,Serie A,25,2,,,1,0,—,—,26,2,
Udinese,2004–05,Serie A,21,1,3,0,—,—,—,—,24,1,
Udinese,2005–06,Serie A,14,1,,,5,0,—,—,19,1,
Udinese,Total,Total,91,7,4,0,6,0,0,0,101,7,
Career total,Career total,Career total,455,28,51,2,61,5,1,0,571,36,
