# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,League cup Apps,League cup Goals,Europe Apps,Europe Goals,Other Apps,Other Goals,Total Apps,Total Goals
Feyenoord,2001–02,Eredivisie,10,0,0,0,—,—,7,0,—,—,17,0
Feyenoord,2002–03,Eredivisie,23,8,3,7,—,—,2,0,—,—,28,15
Feyenoord,2003–04,Eredivisie,28,6,2,0,—,—,3,0,—,—,33,6
Feyenoord,Total,Total,61,14,5,7,—,—,12,0,—,—,78,21
Arsenal,2004–05,Premier League,26,5,5,3,3,1,6,1,1,0,41,10
Arsenal,2005–06,Premier League,24,5,2,0,4,4,7,2,1,0,38,11
Arsenal,2006–07,Premier League,22,11,1,0,0,0,8,2,—,—,31,13
Arsenal,2007–08,Premier League,15,7,0,0,1,0,7,2,—,—,23,9
Arsenal,2008–09,Premier League,28,11,6,4,0,0,10,5,—,—,44,20
Arsenal,2009–10,Premier League,16,9,0,0,0,0,4,1,—,—,20,10
Arsenal,2010–11,Premier League,25,18,2,1,3,1,3,2,—,—,33,22
Arsenal,2011–12,Premier League,38,30,2,2,0,0,8,5,—,—,48,37
Arsenal,Total,Total,194,96,18,10,11,6,53,20,2,0,278,132
Manchester United,2012–13,Premier League,38,26,4,1,0,0,6,3,—,—,48,30
Manchester United,2013–14,Premier League,21,12,0,0,0,0,6,4,1,2,28,18
Manchester United,2014–15,Premier League,27,10,2,0,0,0,—,—,—,—,29,10
Manchester United,Total,Total,86,48,6,1,0,0,12,7,1,2,105,58
Fenerbahçe,2015–16,Süper Lig,31,16,5,5,—,—,12,1,—,—,48,22
Fenerbahçe,2016–17,Süper Lig,24,9,4,4,—,—,7,1,—,—,35,14
Fenerbahçe,2017–18,Süper Lig,2,0,0,0,—,—,2,0,—,—,4,0
Fenerbahçe,Total,Total,57,25,9,9,—,—,21,2,—,—,87,36
Feyenoord,2017–18,Eredivisie,12,5,2,2,—,—,—,—,—,—,14,7
Feyenoord,2018–19,Eredivisie,25,16,4,2,—,—,1,0,1,0,31,18
Feyenoord,Total,Total,37,21,6,4,—,—,1,0,1,0,45,25
Career total,Career total,Career total,435,204,44,31,11,6,99,29,4,2,593,272
